"","R","P","microbe1","microbe2"
"cor187",-0.14560124303005,0.434486212648162,"Bifidobacterium","Eggerthella"
"cor188",0.00530451803685099,0.977406327693635,"Bifidobacterium","Enterorhabdus"
"cor189",-0.0788613465866215,0.673247281846192,"Bifidobacterium","Gordonibacter"
"cor190",-0.0614445089776857,0.742639248210486,"Bifidobacterium","Senegalimassilia"
"cor191",-0.0368140878228352,0.844128519980096,"Bifidobacterium","Slackia"
"cor192",0.013264814432691,0.943538387240659,"Bifidobacterium","Bacteroides"
"cor193",-0.0900532407077872,0.629968180300112,"Bifidobacterium","Barnesiella"
"cor194",-0.0610868095486933,0.744087573459713,"Bifidobacterium","Coprobacter"
"cor195",NA,NA,"Bifidobacterium","Dysgonomonas"
"cor196",0.0727231449280532,0.69743775887622,"Bifidobacterium","Butyricimonas"
"cor197",-0.119784507477831,0.52097561294949,"Bifidobacterium","Odoribacter"
"cor198",-0.100224955684843,0.591646843263361,"Bifidobacterium","Sanguibacteroides"
"cor199",-0.0999502434073201,0.592668359442139,"Bifidobacterium","Muribaculum"
"cor200",4.99031095222868e-05,0.999787419469556,"Bifidobacterium","Alloprevotella"
"cor201",-0.0389006703136309,0.835410443887263,"Bifidobacterium","Paraprevotella"
"cor202",0.00502111667707953,0.978613144906822,"Bifidobacterium","Prevotella"
"cor203",0.00589513932990132,0.974891426316961,"Bifidobacterium","Prevotellaceae_NK3B31_group"
"cor204",-0.0192282892551663,0.918226165341961,"Bifidobacterium","Prevotellaceae_UCG-001"
"cor205",0.00654731250458802,0.972114708901428,"Bifidobacterium","Prevotellaceae_UCG-003"
"cor206",0.0065392956799978,0.972148839761864,"Bifidobacterium","Prevotellaceae_UCG-004"
"cor207",-0.15512321568201,0.404699167026765,"Bifidobacterium","Alistipes"
"cor208",-0.0361153086068689,0.847052232023222,"Bifidobacterium","Rikenellaceae_RC9_gut_group"
"cor209",-0.146862812477216,0.430472243218605,"Bifidobacterium","Parabacteroides"
"cor210",-0.0957331460522317,0.608444698603117,"Bifidobacterium","Flavobacterium"
"cor211",-0.0937305053862117,0.615998139528696,"Bifidobacterium","Pedobacter"
"cor212",-0.125910707925804,0.499722632219731,"Bifidobacterium","Bacillus"
"cor213",NA,NA,"Bifidobacterium","Solibacillus"
"cor214",-0.063885530820139,0.732778809360368,"Bifidobacterium","Candidatus_Stoquefichus"
"cor215",0.138509540591746,0.457427134308153,"Bifidobacterium","Catenibacterium"
"cor216",-0.0895896603152179,0.63173839993433,"Bifidobacterium","Coprobacillus"
"cor217",-0.077631038861717,0.678071231831435,"Bifidobacterium","Erysipelatoclostridium"
"cor218",-0.106547823529847,0.56835035834289,"Bifidobacterium","Erysipelotrichaceae_UCG-003"
"cor219",NA,NA,"Bifidobacterium","Catenisphaera"
"cor220",-0.246267908420587,0.181715696178088,"Bifidobacterium","Dielma"
"cor221",-0.1584829491526,0.394472298836577,"Bifidobacterium","Faecalitalea"
"cor222",-0.119866228672071,0.520689235315636,"Bifidobacterium","Holdemanella"
"cor223",-0.0567877052347942,0.761560454005102,"Bifidobacterium","Holdemania"
"cor224",0.0400567826058136,0.83058818759525,"Bifidobacterium","Merdibacter"
"cor225",0.0537994640070725,0.773774363307629,"Bifidobacterium","Turicibacter"
"cor226",-0.0717545494801233,0.701282456119536,"Bifidobacterium","Granulicatella"
"cor227",0.138013580542111,0.459055227452968,"Bifidobacterium","Enterococcus"
"cor228",0.035275126126795,0.850570218011247,"Bifidobacterium","Lactobacillus"
"cor229",-0.0440044834183835,0.814168447284835,"Bifidobacterium","Lactococcus"
"cor230",-0.0196820889104256,0.916302894872704,"Bifidobacterium","Streptococcus"
"cor231",0.0139604759250792,0.940582369215401,"Bifidobacterium","Gemella"
"cor232",0.000418896345114388,0.998215559335287,"Bifidobacterium","Christensenella"
"cor233",-0.0410213473562516,0.826569505971477,"Bifidobacterium","Christensenellaceae_R-7_group"
"cor234",-0.0867810006114098,0.642506010754708,"Bifidobacterium","Ruminiclostridium"
"cor235",-0.000714401693744774,0.99695675188634,"Bifidobacterium","Clostridium_sensu_stricto_1"
"cor236",-0.0153597683376443,0.934638856316033,"Bifidobacterium","Anaerofustis"
"cor237",-0.100386235922345,0.591047480675048,"Bifidobacterium","Eubacterium"
"cor238",-0.0927255243409468,0.619803298378882,"Bifidobacterium","Defluviitaleaceae_UCG-011"
"cor239",-0.0920365072073515,0.622417715490973,"Bifidobacterium","A2"
"cor240",0.0545940075048833,0.770521493388174,"Bifidobacterium","Agathobacter"
"cor241",0.140546808716212,0.450771701832274,"Bifidobacterium","Anaerostipes"
"cor242",-0.0194434882790384,0.917314062689174,"Bifidobacterium","Blautia"
"cor243",-0.12739476199981,0.49464062826222,"Bifidobacterium","CAG-56"
"cor244",0.0975359885540083,0.6016784906746,"Bifidobacterium","Coprococcus"
"cor245",-0.0423654310348751,0.820976817363415,"Bifidobacterium","Dorea"
"cor246",-0.18184780339779,0.327543544012564,"Bifidobacterium","Eisenbergiella"
"cor247",-0.0596147187106413,0.75005705108686,"Bifidobacterium","Epulopiscium"
"cor248",-0.0239348862676075,0.898302887487224,"Bifidobacterium","Frisingicoccus"
"cor249",0.0564514609151756,0.762932046828572,"Bifidobacterium","Fusicatenibacter"
"cor250",-0.0248969535777775,0.894237474070635,"Bifidobacterium","GCA-900066575"
"cor251",-0.183845326409484,0.322166795526728,"Bifidobacterium","GCA-900066755"
"cor252",-0.00168135611208966,0.992837740278082,"Bifidobacterium","Howardella"
"cor253",-0.101175451810885,0.588118354666389,"Bifidobacterium","Hungatella"
"cor254",-0.126289094164008,0.498424395935131,"Bifidobacterium","Lachnoclostridium"
"cor255",-0.0569090133297628,0.761065793327932,"Bifidobacterium","Lachnospira"
"cor256",-0.108286212698042,0.562018968260433,"Bifidobacterium","Lachnospiraceae_AC2044_group"
"cor257",0.1362110708636,0.464998158415342,"Bifidobacterium","Lachnospiraceae_FCS020_group"
"cor258",-0.0928511872917561,0.619326970240671,"Bifidobacterium","Lachnospiraceae_ND3007_group"
"cor259",-0.0373937260932606,0.841704837868098,"Bifidobacterium","Lachnospiraceae_NK4A136_group"
"cor260",-0.164962233767995,0.375173348836026,"Bifidobacterium","Lachnospiraceae_NK4B4_group"
"cor261",-0.126019369647235,0.499349641906386,"Bifidobacterium","Lachnospiraceae_UCG-001"
"cor262",-0.0739923972390991,0.692410778776557,"Bifidobacterium","Lachnospiraceae_UCG-004"
"cor263",0.0161220938979446,0.931402299816133,"Bifidobacterium","Lachnospiraceae_UCG-010"
"cor264",0.174889017816083,0.346702019346011,"Bifidobacterium","Lachnospiraceae_XPB1014_group"
"cor265",-0.0910479702508899,0.626176520259767,"Bifidobacterium","Lactonifactor"
"cor266",-0.0629584137477112,0.736519050531663,"Bifidobacterium","Marvinbryantia"
"cor267",-0.0918912096597586,0.622969612507532,"Bifidobacterium","Moryella"
"cor268",-0.0604279039905258,0.746757724923017,"Bifidobacterium","Roseburia"
"cor269",-0.148237169116167,0.426122715395342,"Bifidobacterium","Sellimonas"
"cor270",-0.0377664808520047,0.84014696113294,"Bifidobacterium","Shuttleworthia"
"cor271",-0.117429634007927,0.529260714661851,"Bifidobacterium","Tuzzerella"
"cor272",-0.134478128014716,0.470749703702339,"Bifidobacterium","Tyzzerella"
"cor273",-0.100707965423876,0.589852634377355,"Bifidobacterium","UC5-1-2E3"
"cor274",-0.0664543210074399,0.722447203262557,"Bifidobacterium","Monoglobus"
"cor275",0.146496248099393,0.431636444654083,"Bifidobacterium","Butyricicoccus"
"cor276",-0.150940780845581,0.417637682811849,"Bifidobacterium","UCG-008"
"cor277",-0.0522903757616433,0.77996291756601,"Bifidobacterium","UCG-009"
"cor278",-0.124208646172392,0.505583328517945,"Bifidobacterium","Acetanaerobacterium"
"cor279",-0.100985675850221,0.588822115797918,"Bifidobacterium","Ethanoligenens"
"cor280",0.109414902655839,0.55792553090638,"Bifidobacterium","Colidextribacter"
"cor281",-0.000395861826376916,0.99831368306625,"Bifidobacterium","Flavonifractor"
"cor282",-0.105269719243368,0.573025846325757,"Bifidobacterium","Intestinimonas"
"cor283",0.0334971946402981,0.85802393455628,"Bifidobacterium","NK4A214_group"
"cor284",-0.0820481393880591,0.660811550503886,"Bifidobacterium","Oscillibacter"
"cor285",0.00646502194887744,0.972465055325413,"Bifidobacterium","Oscillospira"
"cor286",0.148020586921716,0.426806532355552,"Bifidobacterium","Pseudoflavonifractor"
"cor287",0.0739981854269127,0.692387883350761,"Bifidobacterium","UCG-002"
"cor288",-0.0531653025632682,0.776373333222585,"Bifidobacterium","UCG-003"
"cor289",-0.0948649111163847,0.611714659822189,"Bifidobacterium","UCG-005"
"cor290",-0.123136660223474,0.509291996930698,"Bifidobacterium","UCG-007"
"cor291",-0.092929868048628,0.619028806160999,"Bifidobacterium","Hydrogenoanaerobacterium"
"cor292",-0.13049010304153,0.484125768558663,"Bifidobacterium","Anaerofilum"
"cor293",-0.0660476274042105,0.72407977693673,"Bifidobacterium","Anaerotruncus"
"cor294",-0.114548067709987,0.539484444512849,"Bifidobacterium","Angelakisella"
"cor295",-0.17891323595937,0.335541930937882,"Bifidobacterium","CAG-352"
"cor296",0.112722111437392,0.546010997613057,"Bifidobacterium","Candidatus_Soleaferrea"
"cor297",-0.00954571515579261,0.959353205747737,"Bifidobacterium","Caproiciproducens"
"cor298",0.0356539312716882,0.848983743910736,"Bifidobacterium","DTU089"
"cor299",-0.0665442989032007,0.722086170004356,"Bifidobacterium","Faecalibacterium"
"cor300",-0.0645161547175799,0.730238126345738,"Bifidobacterium","Fournierella"
"cor301",-0.14680654194306,0.430650845118786,"Bifidobacterium","Harryflintia"
"cor302",0.171951198703349,0.354988838233878,"Bifidobacterium","Incertae_Sedis"
"cor303",-0.0814657729858414,0.663077609409677,"Bifidobacterium","Negativibacillus"
"cor304",-0.112075289843954,0.548331802779623,"Bifidobacterium","Paludicola"
"cor305",-0.090438640557363,0.628498029611142,"Bifidobacterium","Phocea"
"cor306",0.0533189444961451,0.775743446987221,"Bifidobacterium","Pygmaiobacter"
"cor307",-0.0212237050246096,0.909772824579368,"Bifidobacterium","Ruminococcus"
"cor308",0.162626003677088,0.38206728439559,"Bifidobacterium","Subdoligranulum"
"cor309",-0.159611652275792,0.391070119327859,"Bifidobacterium","UBA1819"
"cor310",-0.0883954805538275,0.636307675062158,"Bifidobacterium","Peptococcus"
"cor311",-0.124014956388823,0.506252423918427,"Bifidobacterium","Family_XIII_AD3011_group"
"cor312",-0.00602918743161975,0.974320673418492,"Bifidobacterium","Family_XIII_UCG-001"
"cor313",0.187641483783527,0.312099997652246,"Bifidobacterium","Intestinibacter"
"cor314",-0.0986337432842521,0.597574351434635,"Bifidobacterium","Paeniclostridium"
"cor315",-0.068415250552691,0.714592427230595,"Bifidobacterium","Romboutsia"
"cor316",0.179309941814899,0.334453774293764,"Bifidobacterium","Terrisporobacter"
"cor317",-0.0835919330192366,0.654818740267406,"Bifidobacterium","Fenollaria"
"cor318",-0.0189727528281088,0.919309366936964,"Bifidobacterium","Acidaminococcus"
"cor319",-0.131727717094749,0.479953977542147,"Bifidobacterium","Phascolarctobacterium"
"cor320",-0.037696551934761,0.840439174319984,"Bifidobacterium","Succiniclasticum"
"cor321",NA,NA,"Bifidobacterium","Megamonas"
"cor322",-0.00611331697537621,0.973962471176509,"Bifidobacterium","Mitsuokella"
"cor323",0.00533069178658211,0.977294873596202,"Bifidobacterium","Allisonella"
"cor324",-0.0393705106207899,0.833449977200649,"Bifidobacterium","Dialister"
"cor325",-0.024816167487092,0.894578752565098,"Bifidobacterium","Megasphaera"
"cor326",0.0395183379630419,0.832833351596445,"Bifidobacterium","Veillonella"
"cor327",0.00154747849919205,0.993408020820178,"Bifidobacterium","Fusobacterium"
"cor328",-0.0920365072073515,0.622417715490973,"Bifidobacterium","Sneathia"
"cor329",-0.0935214843140136,0.616788755402099,"Bifidobacterium","Brevundimonas"
"cor330",-0.0920365072073515,0.622417715490973,"Bifidobacterium","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"cor331",-0.0943243574279757,0.613754216230132,"Bifidobacterium","Mesorhizobium"
"cor332",-0.0929910975629956,0.6187968153842,"Bifidobacterium","Phyllobacterium"
"cor333",-0.0930996217942935,0.618385719385674,"Bifidobacterium","Paracoccus"
"cor334",-0.0973615996396051,0.602331579597931,"Bifidobacterium","Sphingomonas"
"cor335",0.006547312504588,0.972114708901428,"Bifidobacterium","Succinivibrio"
"cor336",-0.094242465032492,0.61406345099762,"Bifidobacterium","Achromobacter"
"cor337",-0.116533188020796,0.532431252503039,"Bifidobacterium","Parasutterella"
"cor338",0.144753817901483,0.437193941339292,"Bifidobacterium","Sutterella"
"cor339",-0.0588730258530155,0.753070094934482,"Bifidobacterium","Citrobacter"
"cor340",-0.0991242267003048,0.595744501678726,"Bifidobacterium","Enterobacter"
"cor341",-0.0272599427514936,0.884263545563206,"Bifidobacterium","Escherichia/Shigella"
"cor342",-0.0226684576583554,0.90365828300475,"Bifidobacterium","Klebsiella"
