pathway,A1,A2,A13,A14,A15,A17,A18,A19,A20,A21,A22,A23,A3,A24,A26,A28,A29,A30,A32,A37,A39,A42,A47,A4,A49,MWR072,MWR101,MWR102,MWR065,MWR091,MWR098,MWR084,MWR095,MWR063,A5,MWR080,MWR094,MWR115,MWR111,MWR092,MWR097,MWR073,MWR107,MWR112,MWR078,A6,MWR104,MWR070,MWR113,MWR082,MWR088,MWR118,MWR067,MWR108,MWR085,MWR090,A7,MWR077,MWR089,MWR068,MWR069,MWR106,MWR100,MWR081,A8,A9,A10
ARGSYNBSUB-PWY,308840.448,443962.5779,304731.0967,223808.2035,237987.5621,209262.6931,260948.8281,196794.4837,167362.9091,311279.8371,335677.6188,4745.0219,406834.4779,76285.9091,8408.1666,21579.5218,20431.6093,33113.4343,18956.6701,68944.2491,63535.0157,121802.0591,175492.9367,425132.833,251767.8862,43421.3037,69939.5326,34376.1248,24558.1713,48865.4696,65056.2669,30189.5016,49986.8015,51308.0259,297602.9712,54146.6207,40026.9027,53439.0219,67289.6299,36276.3792,46469.8086,53507.4723,74018.3297,48458.4714,43624.6719,180542.1336,73007.3742,24264.0204,66374.442,49782.1329,41280.5092,43630.2227,54550.9521,63043.8662,41774.1615,46414.7508,200520.1129,48730.4357,21868.5187,54532.9118,29311.1515,54407.7178,48456.3823,23022.9282,143192.2084,268780.7698,266841.5823
ARO-PWY,402821.1799,505885.1102,363514.5471,299974.038,373043.8163,276262.6631,326575.9264,280788.4759,381892.6494,330707.8258,461387.0819,5009.0026,439653.3954,100151.7586,11741.289,27460.3275,26275.0229,46066.353,23106.5147,97813.0509,89129.0491,167859.5282,247165.735,583407.4,371867.2658,58854.9564,83119.5337,76207.4188,69380.4941,81860.4894,77064.1698,44856.569,65085.6951,64230.0088,392251.9446,75436.9319,56095.6918,67440.334,81203.0943,76688.3859,61972.8212,71656.53,97965.0643,65444.5197,56058.1342,345700.9597,89938.0689,35181.7256,84156.1879,67031.4703,61203.1812,81294.9395,67792.9879,77826.2438,53757.7949,70938.3137,324193.4509,88437.2627,43871.7999,75406.675,55052.0475,75211.0995,56168.676,37579.1067,252257.5264,320216.4352,343821.8572
ASPASN-PWY,289150.2034,374497.3604,280154.2814,247201.6664,297030.5389,228880.3401,234119.0474,287851.3075,395546.9865,271663.9509,360065.2021,4006.1024,339853.9736,63318.4867,9897.5286,20786.5245,18943.9332,34532.14,16756.7697,77285.5989,82574.6928,148489.1801,199984.1251,452658.3153,297654.0671,57781.4179,74308.2022,85081.3492,59629.0304,87584.239,63797.2145,37675.8552,64981.3842,46589.5946,294046.3693,61140.8776,53743.4452,54474.8327,57492.7282,78390.546,49157.774,44785.2635,79806.7818,49624.652,49517.7802,257586.1251,77738.7085,29532.2576,57422.6349,50196.2996,60637.3847,95146.2625,51224.467,48718.8938,40484.9659,60217.083,298985.219,69883.9386,40226.7401,52355.6059,54138.9919,60450.3356,39597.9575,35918.8195,252102.1847,238610.2669,286191.1542
AST-PWY,918.9254,47.2065,2885.6545,9,38.5825,1916.8048,2142.0232,465.4375,1809.281,31828.7832,245.782,7.2082,43.6694,27,22.25,54.8246,27.75,52.3835,84.6215,0,22.9032,6,0,281.728,0,1764.75,65.5,93.5,3.75,3424.75,2,11,8749.75,167.5,1105.6924,8762.79,227.77,0,372.5,8.5,84,490.25,703.5,4,1031.75,71.2948,591,376.8769,6,656.25,3,554.25,103.3271,0,2.75,127.25,161.5376,174.25,59.91,160.25,111.1666,36.88,11.25,183.75,672.7429,1690.9901,39.3349
BIOTIN-BIOSYNTHESIS-PWY,72068.7734,26220.968,78990.8124,141812.2537,86094.772,95952.753,124521.5441,205163.4375,7871.8428,125399.4625,114259.284,144.5333,39058.75,4596.0435,4282.1427,8597.5325,2288.264,10790.4197,4729.9967,14609.6661,37804.2365,87981.4012,112744.6477,43055.6953,91034.9501,41865.6455,23055.818,32435.2576,12493.6977,58494.2441,24997.9597,14717.5615,58489.7935,9012.1917,159853.2962,36677.2439,28090.5779,36322.9651,13605.0087,29272.053,17822.0472,20029.6543,26735.5211,16256.0135,27318.5593,36490.067,21449.945,21779.762,2126.1372,19435.7025,37887.9686,49765.3041,17017.5876,3364.6561,4843.5211,27275.6757,70020.8512,27088.3758,13623.1339,21237.2558,20678.3453,18382.4521,1795.936,21575.1355,191488.8637,60267.6573,134875.8047
BRANCHED-CHAIN-AA-SYN-PWY,412215.9507,566032.088,408938.8486,330911.0211,354701.6715,299939.8054,350335.1533,328848.9446,451260.6615,397251.95,486785.2211,5680.4603,509294.4332,104077.6833,12914.7922,29630.9884,28098.067,49448.494,24284.4684,106215.7796,95735.5309,183643.5306,266641.2121,636438.5073,413914.2749,62153.408,94210.1427,89671.5395,48927.0996,93709.3223,83321.3112,46877.7821,72560.5197,69598.6022,406931.9697,79576.9895,61018.044,72572.5366,85616.015,73678.7857,67386.7716,75247.6988,105697.77,68495.7204,61397.2778,403507.6285,95953.0281,37583.3679,85283.9503,75042.1725,69150.1058,94817.9482,73333.5114,80679.8932,53074.922,78807.8914,379349.0275,71849.2243,44926.1626,81551.7643,60305.1177,76850.9637,63058.8313,42675.9018,284023.023,341817.6532,368570.0182
CALVIN-PWY,398262.949,562300.0056,417451.7102,314552.1311,411885.3603,302681.4744,354601.6665,324722.6168,461952.3128,420550.0824,495157.9133,6555.7343,526922.9692,101591.3036,13331.8771,28721.0525,29095.1057,49030.9993,24351.0005,110135.0586,94170.465,181908.0075,263544.1935,642630.5228,399338.7861,62314.3991,93754.0028,94117.3157,98643.7545,97544.7718,88884.9534,46739.8399,76679.4091,69784.6934,440375.3451,84902.0088,64068.8321,72631.4849,83537.1849,88724.2099,63150.6325,74141.5412,101164.0293,68315.4894,64467.1544,399239.7553,89729.5736,36936.0803,84561.4163,73423.3995,69891.4018,98121.9104,65201.2961,79812.5817,54828.0983,80066.5615,390565.87,96002.1966,54777.3538,78320.048,63276.2832,77528.5573,61113.8784,44662.9648,300643.4098,347592.2395,389476.8415
CATECHOL-ORTHO-CLEAVAGE-PWY,22.6383,0,25.9368,0,5.5266,3.9529,0,6.4336,0,5885.6318,7.7838,5.625,9.8909,0,0,0,0,11,0,0,18.0241,0,0,41.0335,0,0,0,0,0,120.9456,0,0,0.25,0,44.9889,0,89.01,0,0,0,0,0,0,0,0,19.8992,0,277.6782,0,0,0,0,11.0345,0,0,0,0,0,2.83,3,60,0,0,81.5,0,0,0
CENTFERM-PWY,10631.0013,5366.2533,20415.5863,1198.7198,4676.2193,15691.5888,15554.6305,4161.7668,16625.4592,92774.1685,5574.9417,630.7508,11334.9569,454.0675,300.8418,1314.1571,287.4065,769.415,859.0716,94.1765,615.9862,601.4826,469.1561,4120.0613,11376.0831,9287.4997,1543.9258,1504.9035,409.2042,15546.1916,3207.2409,176.82,24548.4213,3350.625,9278.002,21937.9096,2296.5212,401.4581,2657.7116,465.3807,1089.6469,3126.2317,4818.9473,342.1522,6203.7368,2663.3779,5042.4818,10171.1765,69.8128,4847.6182,333.3957,3772.0759,2417.6127,4247.8882,1379.5417,1271.6869,2825.7962,1481.6375,950.8237,1491.1379,2052.1677,2052.8904,88.8575,814.1421,7068.1276,13054.7947,17926.7087
CHLOROPHYLL-SYN,1998.2188,19.8387,0,58.066,0,55.0492,0,312.7832,0,303.8042,0,0,120.1914,0,0,22.2263,0,0,32.1336,0,0,0,0,245.2072,211.4984,0,0,0,22.3018,0,25.6924,0,0,0,13.5469,0,0,6.9809,116.4696,0,0,0,0,11.6945,0,0,0,0,0,0,17.9373,0,52.4474,17.2542,0,0,82.0802,0,0,16.9163,0,99.9332,0,0,17.3055,0,300.0763
COA-PWY,326704.0749,399698.4543,301228.975,275759.0545,343568.8499,247512.7909,275378.8623,258973.4666,381605.6814,253353.0408,388503.1865,3753.8808,339324.8687,77796.6304,10061.4159,23709.5162,21942.5672,40140.9445,19254.8601,85402.7839,78651.9383,146152.5977,211940.4137,489259.2974,300399.4103,53113.7528,72912.2519,82759.8803,75988.3483,76578.9279,65107.4183,41073.0544,62213.9466,54206.8976,339999.2185,64272.2512,50127.1818,57200.3437,67512.4143,76563.0209,56096.7476,62824.1405,86932.313,52932.9399,48876.9464,326174.6677,80540.0259,32557.6071,70842.8543,63462.0535,57703.018,83372.6181,62971.2895,62780.8095,47790.6739,63340.6027,311033.1413,86257.0714,43281.3157,67417.8591,54731.5009,65757.6856,47561.7835,37356.4312,234592.8221,258018.174,299538.0762
COBALSYN-PWY,290756.4804,424581.9938,258184.9588,240575.6029,299402.6556,212742.0675,226259.1119,228036.0328,332587.4939,264791.4973,397747.7624,4465.0101,371978.2253,86995.6297,10358.6082,23254.3831,23079.6275,39453.6164,17362.5043,87202.626,74033.8102,126730.8363,209314.8878,440231.6971,371254.5757,42405.1862,53325.8274,79485.7502,71711.1609,78695.2106,56893.9732,35944.5936,40106.7232,54323.4176,322922.1907,54604.9521,43784.7144,50337.3731,62346.9314,75035.1792,48248.2694,48253.6583,84003.9652,50137.7659,43797.6679,396344.3046,58536.3635,26131.4884,61970.0268,48894.337,50210.594,85841.0571,49289.103,56482.227,38625.3581,63916.7771,308635.7213,70837.5809,44623.9799,51622.4404,60449.4694,60784.9578,43310.967,32999.8403,249150.0473,218488.5117,278757.7551
CODH-PWY,17.9995,95.9897,1428.8635,341.5712,136.3722,743.714,437.6413,161.9493,6.6799,29.9983,3865.0933,0,142.9743,0,18.3833,40.9645,61.2371,2.6799,47.9408,85.9577,0,22.9982,13.9996,133.3008,882.7926,5.9996,27.9949,21.997,8.9994,58.9766,1712.1137,19.9949,33.9889,1161.6941,46.6767,3.9999,9.999,0,363.1153,110.9174,69.9546,25.9943,78.9642,346.9005,0,522.5746,211.7216,191.3732,0,35.989,5.9997,181.799,37.9867,118.8895,117.8541,127.8753,0,127.8977,81.9232,29.9928,7.9994,3.9999,0,18.9946,266.2462,296.8384,509.5654
COLANSYN-PWY,145101.6693,181441.0098,171843.6876,155578.5405,212551.7598,168152.5755,155797.7627,138429.4652,174290.5572,139421.097,178161.0376,1508.3833,140649.1439,25777.1583,5912.3514,11014.7766,8161.4766,17435.8636,9529.7673,43488.1519,46035.8152,99645.5108,119094.8783,280773.7375,161426.7335,35411.6904,37226.4377,60257.4633,45272.3564,56495.7777,39351.1399,23319.3284,52238.4997,17751.505,136011.9832,45103.6958,31707.4335,26175.9614,31428.8825,48758.7562,36215.2669,35361.9439,42040.8559,30157.5028,26493.5508,142758.293,46009.3051,19966.6675,12094.3489,39830.0172,38509.6195,51614.6815,30652.3387,22301.6984,20192.4123,38554.1414,203472.573,54382.5092,27964.4257,34300.6629,37631.6319,31990.6412,6713.4912,21469.8142,147666.62,139434.865,151647.2095
COMPLETE-ARO-PWY,414712.9128,524415.1059,372962.0973,312184.8032,385430.869,285116.066,339951.9049,294870.9476,404300.8567,344845.7885,479577.5056,5189.1586,454466.1986,103564.5857,12151.7298,28556.5968,27347.9841,47891.3994,23898.2291,101050.9214,92175.5669,174505.1023,256867.6247,600633.6374,388286.7701,61338.8932,86076.7913,79233.8461,71702.3905,85458.3835,79796.9285,46379.885,67983.5748,66923.6519,408541.4628,78170.1194,58325.3303,70621.6115,83712.5487,79288.9674,64062.8396,73668.0649,102078.3985,67640.3987,58299.0466,364580.0934,92540.5214,36280.1779,87223.1522,69817.1343,63828.3379,86160.9699,70621.255,79715.6306,55356.2323,73642.436,336644.9204,90895.6117,45682.1786,77976.9055,57177.4693,77963.2596,57939.417,39004.5233,262935.922,330561.4603,355906.6333
CRNFORCAT-PWY,0,0,0,0,0,0,0,0,0,712.2868,0,5.9467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAPLYSINESYN-PWY,356802.6034,481903.5062,320864.0282,247112.4355,296663.9301,226842.5746,279157.7598,217658.3136,254522.2876,342815.192,377695.6384,5306.498,443333.4215,87484.2757,9978.1792,24032.7014,23557.8024,38396.9753,20430.3905,77746.2628,69752.2657,132855.695,201950.6182,468715.971,302598.0746,47224.6106,69442.6593,42930.1226,40121.3626,59766.3321,70223.1404,35688.2297,53524.2159,57861.9606,287987.6136,62104.3221,44758.7914,57692.7875,69951.5344,48711.8672,52246.6201,58002.3883,86948.9114,55174.9714,47666.635,247765.5221,82256.0395,30040.3154,70232.2479,56619.2129,48592.2902,42356.4062,56032.7687,68909.522,46203.8524,53442.8249,260607.1856,63692.6979,26792.413,62180.624,30414.4133,62258.4845,52570.5763,27430.0845,182748.5648,288911.2152,302434.1195
DENITRIFICATION-PWY,0,0,0,10.0067,20.4216,0,0,0,0,13.8705,11.3379,0,0,0,0,0,0,0,7.4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4026,0,6.833,0,0,12.5413,0,2.8889,0,0,0,0,62.5505,0,0,0,0,7.0737,0,0,0,0,0,0,0
DENOVOPURINE2-PWY,203583.2551,134763.8733,246546.2482,192941.6345,236222.298,187968.0466,189399.9463,224073.6585,373901.6765,235093.1987,233499.5625,1666.6536,184433.5532,18250.3206,6280.1605,16425.2461,9195.0017,22285.1168,11831.9209,60136.3872,65135.8923,133289.5626,138847.3637,381547.6302,170140.5807,49985.8263,68391.0969,81470.756,19352.3929,72674.8954,52009.897,29536.4941,60531.1716,22842.4843,222882.2953,58455.7465,35295.6592,42819.7426,31710.6397,73856.7863,41737.9978,46675.0585,53897.4901,35415.3648,38616.7526,165430.3654,54250.6219,27299.9066,22824.3641,49963.5553,49757.767,83612.4173,42203.5157,31512.97,24510.0779,58163.9419,246218.4659,67309.3218,28388.9008,40447.8694,55759.5395,33397.4182,9848.3472,27886.3534,200586.857,168759.8689,177320.9829
DHGLUCONATE-PYR-CAT-PWY,11.523,0,0,0,0,5.7109,0,10.6401,0,6877.1559,10.5648,7.7695,13.4839,0,0,0,0,0,0,0,18.2822,0,0,56.4998,0,0,0,0,0,0,0,0,0,0,14.9147,0,0,0,0,0,0,0,0,0,0,19.5308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTDPRHAMSYN-PWY,326378.9675,456136.3621,324031.9452,281578.4254,299617.7045,298285.7894,315983.6316,338078.9393,369428.509,398526.1065,453534.6628,5476.9932,464056.869,83160.7739,11564.547,24216.9599,25265.3304,42899.9452,19315.1315,95328.122,86667.7201,183004.6654,247766.0708,615613.1124,366437.7644,58174.036,80402.4859,99982.6679,69158.8394,101698.8808,91636.7037,41035.4238,63090.7117,61110.0547,387474.3545,75036.7899,72121.0404,74201.2389,70600.3031,85400.8363,56234.5761,64358.9826,79029.6841,68911.3094,63154.4403,351265.5445,68229.2749,33305.9566,70309.9128,62369.5571,69201.1492,102743.7082,60259.7587,67602.3341,44669.2359,77963.0617,395403.2108,75895.8117,48760.2561,70977.2439,58155.4661,73078.0162,49469.2965,37282.3259,316096.6831,272517.7304,328328.0799
ECASYN-PWY,2115.465,92.6681,6737.2152,22.4674,22.6822,4406.5621,4887.4675,1036.2229,3500.5867,35.6085,442.9591,0,13.1226,66.6223,54.6311,120.7965,66.0825,120.5111,159.666,0,23.0767,14.9922,0,27.4755,0,3413.1698,162.7328,231.0341,8.851,6600.3008,4.9989,27.4353,13561.1755,388.4425,2427.217,13686.4563,296.6026,0,837.5512,21.2236,207.1363,1153.8753,1597.8043,9.9449,1744.54,2.4999,1402.729,201.9934,14.9001,1524.622,7.4974,1319.3119,233.5312,0,6.8491,310.7273,344.0553,410.4016,138.5773,380.1667,77.8079,91.394,24.4228,242.5147,1602.3726,3960.7898,63.8351
ENTBACSYN-PWY,4758.2756,208.9491,13886.5909,57.5649,48.408,9169.3228,9808.9227,2185.1381,10289.1585,2664.2123,953.1668,0,27.9929,142.7294,131.2021,370.6062,145.2891,279.1093,345.7261,0,49.2325,31.9646,0,80.2099,5.35,5834.8297,345.9735,492.5886,19.9841,11754.6257,10.6618,58.4747,15640.1048,854.9283,5122.702,21440.9986,747.2794,0,1829.29,45.2502,589.2655,2373.8103,3446.1388,21.3083,4041.165,21.3309,2901.8712,432.6909,31.9219,3346.9752,15.9879,2600.9503,493.3167,0,14.655,679.4276,756.414,1033.5862,300.7193,813.4931,165.677,230.1312,59.7002,522.1648,3424.1132,8182.6447,161.7329
FAO-PWY,4981.5042,2860.5759,10476.6779,645.6896,2353.5878,7918.8858,7696.0543,1934.5595,10137.4531,101914.3954,1315.6435,454.5372,5805.1453,211.3482,184.5963,651.7695,155.839,304.7878,438.6555,65.002,273.353,324.2512,223.8799,2541.0621,6380.7184,5236.9631,877.5389,404.4759,204.8629,10222.9098,129.0886,46.0752,23526.7779,1271.2635,4536.71,24443.3604,1319.3569,221.4226,1279.9209,260.5306,487.5181,1506.6458,2375.9723,118.6121,3365.3339,1304.3098,2735.9517,6971.3906,24.6971,2458.508,64.1362,1999.8514,958.6559,2140.9433,822.8407,716.8434,1997.7628,668.8987,511.5307,702.0847,778.959,1067.4362,49.7291,406.672,3908.6037,6266.6207,12052.1861
FASYN-ELONG-PWY,135738.2859,129291.2121,202476.1635,207149.4842,260282.4437,188802.1569,197998.3568,271306.5486,384154.5036,193304.7051,190223.1425,452.4007,128627.6479,10068.7236,6604.7818,14040.7951,5271.7431,18360.0059,8441.8292,55237.8015,68056.6474,129684.4688,176736.8822,415525.4824,167713.8297,58053.4081,49172.2907,83887.5237,92319.2494,80349.0117,51535.7945,27650.0486,75388.7172,17590.4641,207622.144,56283.885,43407.7499,47665.6265,31703.4601,75224.9228,39676.3503,36919.1786,39629.0796,31785.0683,35215.2014,160209.3432,46190.6766,33390.4456,6404.2812,48599.6734,54921.8327,100332.1292,45526.8158,18510.7276,23867.7742,57606.7219,244407.5289,73419.3252,36847.984,42049.9303,54710.0824,37601.7008,3530.6383,32842.0097,269147.9701,145572.1939,187731.6979
FASYN-INITIAL-PWY,57666.936,13321.3622,49028.5731,151806.6011,143278.4125,78773.6894,112791.6484,169514.2194,8237.6471,116640.9038,93272.7412,108.7373,42643.0593,3028.284,3753.4372,10192.2708,1245.0028,9381.1924,3884.5218,7018.1754,26040.3051,71313.8193,132791.7526,17545.1248,67971.9327,44807.6257,17058.602,17577.6961,76518.6501,45851.6819,22685.7839,12990.3533,61469.0099,8528.0269,151495.1207,37692.9799,25581.0177,36117.1112,8978.4195,23591.1438,11304.4472,16202.8286,24808.6041,10463.5762,26094.7959,23180.4075,13031.6044,26535.183,1251.6456,11029.5836,33739.1581,27202.0989,11655.3264,2023.8704,3086.7947,16582.541,32678.7955,42610.208,8457.8202,24840.8817,10271.4047,11008.9097,1380.827,25456.7592,216406.5331,39257.3756,137681.6811
FERMENTATION-PWY,165692.4445,200817.0227,249620.4061,190537.8232,178331.9794,202472.0904,234204.6761,195771.7501,132963.1107,220721.8546,260528.7043,1186.1439,163778.3455,16590.8541,8721.3369,16132.0251,8824.8466,24814.1123,11492.1237,72098.9981,66150.9223,126287.8998,161391.7764,434167.9956,225663.2402,44738.8179,58724.7864,69895.3519,28292.4242,66449.1748,55730.3341,25507.3824,51787.0344,22523.4589,261907.1228,57080.2597,41931.8577,49327.4609,42306.3702,50740.8684,38132.2823,42336.9778,55981.0326,41597.2745,44617.4948,201426.8865,55569.5505,27516.0393,9000.27,46910.1365,47693.35,43170.2336,31712.1786,17525.9416,24325.0706,50331.3886,273799.7178,36178.1189,33624.0947,40016.834,41362.9513,51546.408,7998.4139,26517.4935,206924.2394,194939.4199,224217.0238
