pathway,SRR14660150,SRR14660161,SRR14660172,SRR14660183,SRR14660188,SRR14660189,SRR14660190,SRR14660191,SRR14660192,SRR14660193,SRR14660194,SRR14660195,SRR14660197,SRR14660198,SRR14660199,SRR14660200,SRR14660201,SRR14660202,SRR14660203,SRR14660204,SRR14660205,SRR14660206,SRR14660207,SRR14660208,SRR14660209,SRR14660210,SRR14660211,SRR14660212,SRR14660213,SRR14660214,SRR14660215,SRR14660217,SRR14660218,SRR14660219,SRR14660220,SRR14660221,SRR14660222,SRR14660223,SRR14660224,SRR14660226,SRR14660227,SRR14660228,SRR14660229,SRR14660230,SRR14660231,SRR14660232,SRR14660233,SRR14660234,SRR14660235,SRR14660238,SRR14660249,SRR14660250,SRR14660251
creatinine degradation I,0,0,0,0,0.986,0,0,0,0,0,0,0,0,0,0,0,36.1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dTDP-beta;-L-rhamnose biosynthesis,40905.8413,57668.3106,46462.9238,42478.2817,46380.5481,54284.1698,70198.5044,48400.9015,55185.9831,46518.2518,42429.5561,58205.6639,46748.8145,28303.5713,33822.9118,56096.1325,51516.9386,37230.1113,59124.4941,50413.417,56581.1117,49333.2454,50004.822,39663.064,53586.8411,52757.0125,38532.6694,48182.7518,13964.6953,42488.7873,36554.6759,43065.9072,36484.3953,43084.5191,40625.567,39886.5523,43132.3301,59095.319,34815.7795,45710.3776,53833.1709,43209.7164,55804.9021,54952.1772,50943.0262,59672.6875,35919.5166,47849.1614,54701.6978,55072.1004,42338.0233,52604.3071,45054.6275
enterobacterial common antigen biosynthesis,350.8349,1.4993,0.9993,4.7121,26.9026,22.7595,0,0,0,356.3504,271.2796,2022.8332,1.0745,12.4566,9.4874,57.9305,4.1627,587.796,143.6284,5011.2859,11.2583,0,0,0,5.9938,0,0,65.0201,4.9588,3.9962,9.1524,29.8197,374.1698,8.4398,151.0257,0,5.9918,0,99.5197,3.9988,0,1.8235,104.8811,25.9292,1681.4365,2.4989,149.5545,0,0,0,1.999,0,132.2427
enterobactin biosynthesis,835.9638,4.6369,3.1961,17.3983,62.8566,46.8169,0,0,0,773.8732,574.8773,3709.9732,3.3535,26.5869,20.2333,124.0061,8.9017,1347.8041,335.4007,8342.4588,52.1649,0,0,0,12.7899,15.9863,0,163.8273,10.6401,8.5292,28.6029,74.3381,964.5477,18.1159,349.1165,0,15.6876,0,330.5718,11.962,0,6.0842,242.0416,55.2066,4033.4678,5.332,363.3419,0,0,0,4.265,0,321.3604
fatty acid beta;-oxidation I (generic),636.8535,83.7354,276.3941,73.9958,228.8187,171.5487,696.3869,177.8608,224.0946,454.6846,496.9613,3213.454,70.669,265.8652,256.0283,857.6398,193.6457,1546.8912,459.0506,7812.1643,243.8419,990.4009,385.041,308.6151,474.2821,177.6651,86.5025,533.7533,56.8215,1029.292,102.0525,101.6926,2074.4085,39.2841,259.3473,337.6731,269.8689,64.6027,1796.8214,355.2288,894.5464,188.4017,294.3984,439.796,4118.7246,320.6692,270.2721,118.2097,73.8096,88.9795,490.5256,360.4164,168.9519
fatty acid elongation -- saturated,21007.686,35055.5172,34299.9055,13555.6363,23139.8671,20871.675,43865.4324,25394.0425,37511.2872,32714.3214,25121.0756,33128.4406,27445.9243,19993.0066,26378.2429,38424.0174,32492.1389,24405.3098,43087.328,48384.4158,41258.8631,33834.4006,31876.6765,24452.8058,31539.0557,39093.3441,23731.9905,28858.3319,9510.7845,31676.7023,19145.8364,25999.4153,30684.221,17644.062,26875.6106,30209.1421,12081.1406,42225.1024,16014.3073,30071.159,22859.8892,22813.8646,33338.0043,37801.2992,28414.9468,24164.809,6685.3033,25252.4103,22226.0368,25133.2005,20817.5716,35886.9125,17506.9692
folate transformations III (E. coli),35459.1264,43041.412,36454.4999,36901.7059,43001.236,48574.8803,57386.6634,39498.39,41977.7101,35654.1621,32954.9649,43836.9849,41224.4807,22219.123,31883.5742,44395.5451,37657.9202,34645.2909,48579.6665,43040.9468,44317.8955,38488.55,43484.224,35494.2412,42401.6222,45376.4651,34027.2566,39239.1265,13196.2999,38138.2739,30186.3521,34315.1134,29055.275,40771.0795,35728.354,33688.2795,34644.9606,46363.8688,31582.1758,38033.9537,44257.2332,35500.3604,40825.7942,49169.7778,39745.1438,50715.0788,30022.9845,39953.8921,40071.2837,42550.8744,37614.4551,38583.3577,40858.5095
GALACTARDEG-PWY,425.5284,402.1093,87.3277,240.2478,138.3722,208.0471,99.1249,114.4697,198.6371,320.7126,653.2494,1795.787,65.8019,70.009,261.1669,148.7116,519.1532,624.5868,474.5007,3734.4239,33.1289,214.1313,136.7678,128.2335,299.8527,124.0528,129.4562,107.4072,13.5929,554.1423,152.1834,219.2436,1305.1546,22.5322,145.2595,702.9454,24.6071,126.9836,305.6314,1005.711,97.87,627.4049,659.9326,409.5688,2680.4422,263.7479,718.333,92.8126,72.0621,81.6133,82.0397,515.0258,258.1749
GALACTUROCAT-PWY,14458.2401,20583.0475,14213.155,14951.3531,13299.3027,19636.3384,32050.2425,18047.3675,18173.9119,17160.2939,20962.5364,25777.84,14839.9746,10662.946,13419.4201,22590.5467,22061.4541,15056.2789,30815.7472,26429.5879,15294.3212,17304.0656,20904.1654,14777,15360.4527,24087.136,13736.0647,18542.8044,6643.6979,19218.6099,13159.8761,24108.3948,14530.8701,13042.1295,12848.4952,13738.3473,11968.6657,22317.1545,11518.7775,22864.9086,21026.882,17179.7031,20359.2613,26988.8739,17721.4634,21895.4305,19014.9808,16200.3728,15749.9664,18694.8158,15716.0352,21664.2631,14970.5861
GALLATE-DEGRADATION-I-PWY,0,0,0,0,0,0,0,0,0,0,0,228.6688,0,0,0,11.3726,0,214.268,5.2564,0,0,0,0,0,0,0,0,0,7.1489,0,0,0,31.3632,0,40.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLATE-DEGRADATION-II-PWY,0,0,0,0,0,0,0,0,0,0,0,228.6688,0,0,0,11.3726,0,214.268,5.2564,0,0,0,0,0,0,0,0,0,3.4497,0,0,0,31.3632,0,40.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLCMANNANAUT-PWY,18824.755,21951.5684,15983.0313,25065.2739,25767.2119,22137.6122,25563.2425,16268.3123,22550.091,16534.0994,24067.7595,31484.4786,22813.3626,11239.1918,13212.9202,19598.7721,16875.5807,10502.4107,22094.4194,18900.4013,18322.0077,22637.6728,18417.1848,13520.7156,17154.3047,18944.2208,16096.4268,15534.3775,5086.0714,13457.7475,12907.8079,21113.1204,13759.0928,22520.2248,17056.3128,14960.4592,23696.1116,20443.1471,14196.3888,21855.6193,27378.1372,18562.1315,25117.3215,29501.9974,32089.096,25876.1863,18033.8168,19684.9428,21363.2097,21742.2882,25452.0973,19152.1168,24853.0256
GLUCARDEG-PWY,589.1313,882.2925,834.0977,532.2848,1455.6118,1360.8615,1099.6771,689.264,682.1747,1077.4077,799.8865,2519.9491,603.3616,301.0787,554.0329,716.5982,1484.2782,1316.9323,1716.5834,4232.8315,984.2795,541.5372,484.9017,507.5286,815.819,783.5658,1128.4735,537.1647,199.344,1942.0054,817.8273,1181.889,1216.6714,820.0383,463.7972,1044.5361,1154.2696,668.6966,606.3368,1139.3691,1554.7986,1210.1455,1127.9627,2186.7808,2757.8563,1038.8689,756.5454,392.6793,572.6186,1236.7016,110.9831,999.2567,1467.2434
GLUCARGALACTSUPER-PWY,425.5284,402.1093,87.3277,240.2478,138.3722,208.0471,99.1249,114.4697,198.6371,320.7126,653.2494,1795.787,65.8019,70.009,261.1669,148.7116,519.1532,624.5868,474.5007,3734.4239,33.1289,214.1313,136.7678,128.2335,299.8527,124.0528,129.4562,107.4072,13.5929,554.1423,152.1834,219.2436,1305.1546,22.5322,145.2595,702.9454,24.6071,126.9836,305.6314,1005.711,97.87,627.4049,659.9326,409.5688,2680.4422,263.7479,718.333,92.8126,72.0621,81.6133,82.0397,515.0258,258.1749
GLUCONEO-PWY,37426.6716,49337.0044,40743.7774,35363.6443,46046.7499,50778.3131,62305.3833,42963.4348,46746.5147,39824.4413,35668.6736,48455.05,44280.7419,24484.4402,35201.9743,48271.6657,40779.6494,37439.6609,53397.2303,46832.1359,50428.8295,43116.3086,45631.4405,37335.2911,45496.6844,49052.3819,35726.6353,42133.3756,13941.9344,41448.5194,33265.7276,38524.5176,32507.7934,35317.4626,34920.6496,36793.0382,31154.5817,49230.0635,30627.1207,42147.5023,45056.6775,39861.0267,47235.6606,53630.1809,42578.0532,51392.228,30323.3397,44016.5741,42131.0744,47163.7027,41405.4222,44186.1318,38400.2442
glucose degradation (oxidative),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0606,0,0,5.6843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8131,0
GLUCOSE1PMETAB-PWY,1788.2231,707.8315,3241.6684,541.7178,370.9621,32.2522,101.5887,1163.8646,62.6229,3325.9756,4285.4596,2610.7723,594.2215,1997.8577,721.0812,1952.7154,2444.3319,570.6706,607.5308,5199.6804,3514.8115,7.9993,1748.111,2112.9204,362.5212,252.0448,131.8083,975.7956,81.1383,1055.4425,1034.1912,1803.7491,2276.4531,4433.2872,7764.3848,3004.6344,37.4455,168.4049,3144.7078,3001.8052,219.9015,653.6274,254.6062,122.0191,6465.3803,57.9761,688.8163,5835.5012,1547.8378,574.5454,1.6,79.2545,6565.3171
GLUCUROCAT-PWY,11731.9851,17893.0676,9204.4653,12689.7408,11182.1232,15226.926,23534.0845,14198.3633,13340.9673,15996.7369,14591.6212,23212.0735,14618.2569,8842.2024,9210.6458,18401.9358,17300.8321,11164.2769,26223.4854,17252.7621,12474.8955,16756.0085,10911.2932,11208.0922,8784.7346,22202.691,9705.2856,12453.5422,4325.1903,12064.5351,7607.9605,17214.4088,7804.3206,11495.6345,7588.9771,10575.9236,11227.3326,19805.0189,8686.6248,17479.5476,17541.8327,15467.941,19123.8407,20205.9424,13010.2749,15602.4103,14492.1363,10627.6846,14672.5783,12427.2888,14126.3716,21917.2173,14086.4363
GLUTORN-PWY,28277.8012,33727.2607,35962.56,34167.5023,43040.737,49532.2062,49436.0915,32619.5514,31993.6199,32690.6712,28681.4323,37728.0795,33634.1449,18418.5679,26643.4808,30739.5862,28673.1401,26546.0122,33232.518,34495.9251,47338.1771,30389.9131,35276.8524,30706.9305,32971.537,29657.8666,27817.91,34315.2082,10531.6219,31115.9457,24237.5117,26081.3326,21035.0556,35615.756,37000.8747,28489.4116,30292.6641,30472.4446,31227.602,32517.4185,38341.9368,29266.2445,28254.6234,36861.1562,38403.3046,39863.4959,27388.8928,41853.9819,33757.9353,34695.9189,33707.6905,26421.2753,37789.0363
GLYCOCAT-PWY,51469.3655,67029.0396,53665.3194,60844.4718,62047.8328,71584.4223,83016.6334,60320.6285,61421.8699,49607.8254,49825.7968,69580.1341,61247.9364,33068.594,46123.8518,66697.513,58676.6864,49864.0316,72619.9725,52980.2326,64734.2529,55726.9769,60538.321,50607.7153,59202.5627,63000.868,51482.3226,54570.4385,19658.1095,53555.4943,46797.6205,57376.0013,38620.5284,59927.1721,49141.0328,46410.035,53036.0624,64947.6612,43448.153,57793.8436,66474.6709,55985.3074,65328.2184,72118.8131,50064.0103,79637.8964,47670.8204,58305.9819,61216.1502,68851.0545,57831.5881,58383.9596,60782.0213
GLYCOGENSYNTH-PWY,47547.2467,61735.8747,49745.9533,56513.3913,61035.3565,70793.6046,78614.3594,57364.4162,56816.171,44894.2554,41891.0434,60573.3109,59094.1185,29239.5001,43469.9165,61423.2611,49363.922,48365.6979,65445.5111,46950.8575,59782.197,51820.2294,54438.476,47974.9269,57405.9932,58419.2393,49950.7189,51609.2212,17323.644,51460.6154,45842.6625,50165.1667,34142.2796,59103.9244,44459.6272,42675.0926,53103.9153,60628.0422,44726.9525,48917.2058,64154.4378,53033.9167,59156.2792,65561.455,49543.5031,75682.3344,41851.0769,56586.3058,60918.8371,67295.2299,56178.9037,50243.0478,59459.5863
GLYCOL-GLYOXDEG-PWY,607.1167,53.213,1.5995,32.1654,44.3083,35.0521,180.0788,15.9502,9.9908,535.9379,419.4194,1621.8697,0.8598,39.5906,27.089,821.8565,53.357,804.009,144.8731,6032.1605,109.7374,942.8304,65.7043,265.7545,168.0847,0,23.926,504.3461,13.9246,368.2369,35.0775,31.9387,539.8459,29.117,147.4735,75.3938,38.987,0,223.463,6.3939,90.7653,7.1907,168.3698,55.4412,2606.9162,55.7446,274.1264,156.5887,0,25.9501,3.1916,13.9442,215.8583
GLYCOLYSIS,39497.7294,49905.6888,38246.9334,36451.8524,40527.7246,46332.1827,58082.8447,43688.112,50216.6879,43256.3746,37270.4581,49144.1536,40241.2588,27208.6665,37103.7643,50292.6255,45718.9513,29985.027,48718.2477,48901.9033,55870.1664,45936.6427,47824.9914,41034.6331,47250.981,50613.6933,35728.3099,41792.7921,13705.7479,39760.6807,32302.4733,42113.8075,34486.9016,47158.0941,46599.9665,40906.7751,30742.3769,52823.0854,33885.2773,45164.2602,45511.6038,36271.1398,50758.2412,57287.1181,48594.3702,44942.7913,32618.6106,42439.5977,39051.3752,46109.4941,39632.4457,47293.2643,40923.2282
glycolysis III (from glucose),49113.6122,62324.0186,52784.6643,51331.4211,58675.1984,70421.4215,78148.9048,55733.5517,59485.823,52169.929,45976.9878,61734.1369,57275.5129,32236.1294,45138.3439,60693.0373,51030.2069,46818.7931,69319.8563,56728.9474,63054.1441,55123.6556,57629.1547,48748.498,56667.2791,62763.0967,46819.5334,52164.3094,17817.2682,52229.9271,44604.9436,49114.6652,39325.452,56921.6232,49466.2175,47811.1356,50701.6814,61280.8382,44872.0043,55197.9618,62541.9426,51420.2584,60237.8288,66273.1529,57197.0143,70926.1474,40885.7412,60263.6041,54632.409,62533.0249,54053.1113,56274.6007,55310.4088
GLYCOLYSIS-E-D,13990.4689,20643.3185,12613.1388,19459.226,19200.7395,25141.2372,23062.0653,12183.2707,17136.2815,16817.3483,22733.6214,29437.3887,12522.4398,11990.6105,13298.3418,19737.7485,23367.8182,14428.6778,20881.8333,26438.529,23691.8339,16068.2004,23758.088,12263.7168,13379.0075,4603.7588,14318.5381,10470.8306,4198.2273,19360.3021,14869.8815,23321.2556,10656.3688,16625.9433,18236.8702,10319.0946,15874.2469,12236.7485,13530.2531,23918.7137,20084.0368,15137.0457,11728.4786,18319.8671,11081.5679,26321.3394,20505.9255,9762.7563,14656.0259,18279.3528,12763.8675,17949.1382,18619.5605
GLYCOLYSIS-TCA-GLYOX-BYPASS,1189.5421,124.2965,2.8797,111.9528,101.3294,65.1323,43.7381,0,0,1034.694,789.9575,5233.7021,2.5796,139.0512,85.2414,351.827,163.2504,2661.2147,410.159,13344.7281,129.5448,141.1738,236.03,119.4925,583.659,0,16.6006,488.1771,41.7176,1342.5189,130.474,95.6817,1166.7644,96.07,487.0628,34.1405,20.3452,0,374.1932,11.516,309.6847,18.1277,313.8716,184.9652,5317.2127,196.5083,680.0574,144.7928,0,93.2831,5.7583,50.3191,400.3569
GLYOXYLATE-BYPASS,645.5437,54.3566,1.5999,52.3053,44.4814,35.1724,181.5652,15.9951,9.9986,588.7073,442.8985,1939.726,0.86,69.8782,31.5805,851.5567,53.5346,983.2969,149.9758,9985.4518,110.1785,1054.5046,131.7018,284.1796,303.2859,0,23.9845,516.6624,13.989,742.6029,59.2402,31.9792,553.9922,38.7368,152.8559,75.8978,39.5229,0,247.7144,6.3993,143.4909,7.1989,169.9837,80.7201,3362.8738,101.7818,293.6152,161.4114,0,51.945,3.1998,13.9973,222.9835
GOLPDLCAT-PWY,46.766,103.2247,31.7802,158.737,460.4682,357.5325,476.8448,9.9747,23.825,114.97,782.3284,1206.4381,475.9749,54.9383,78.8975,139.5088,69.5835,848.3795,50.0282,986.8701,1018.7314,34.0329,987.13,377.3781,654.6738,315.319,5.9932,577.0715,292.7119,664.0288,37.6319,341.5693,688.9655,0,283.5166,413.1822,57.7719,75.6388,7.9807,115.2281,0,44.0381,139.4223,130.7733,36.1611,273.8892,62.4368,661.8395,23.883,19.1415,627.2203,849.9249,13.57
HCAMHPDEG-PWY,178.7673,0.8857,0.4364,3.167,11.7818,9.6,0,0,0,162.1091,120.8727,213.67,0,0,5.0881,4.7247,0,198.47,16.3029,2917.3091,6.0603,0,0,0,3.5719,0,0,30.0327,2,2.3948,1.4727,0,155.0114,4.6891,49.53,0,2.6182,0,48.1738,1.7455,0,1.05,46.4727,3.4714,965.2364,1.486,74.3667,0,0,0,0.8727,0,60.8727
HEME-BIOSYNTHESIS-II,308.4145,266.468,1196.0684,651.6194,878.3966,994.8629,35.8028,103.8098,2028.8732,1112.5294,202.7544,1574.0312,323.4655,142.1527,269.3437,476.6482,461.089,1540.111,110.534,4015.7305,87.1376,160.6824,771.1438,371.4205,427.7216,269.8373,926.2726,1112.5601,156.8592,1326.4335,600.8679,362.35,594.8733,1250.6475,245.5699,342.8138,708.8752,1355.8443,1679.1418,261.7532,2518.1689,262.2915,86.9035,92.4547,1552.7362,1003.691,445.8454,770.5063,737.3098,624.5462,136.4,1524.4786,375.1313
HEMESYN2-PWY,2882.1326,3551.6075,2829.3341,8933.9167,1866.2218,6840.4952,4846.4258,2122.1283,4439.0731,4621.87,7250.0804,11139.5817,2307.6314,5083.2097,3885.6384,2975.6093,9574.5881,2549.5743,3394.1173,8918.0579,2456.4739,3305.8997,7881.3427,1678.0542,2610.067,2211.5941,1566.2418,2180.9082,655.0026,2430.1074,1907.6191,6698.0369,3905.9079,2582.895,8211.9677,4421.8772,4143.7395,1824.4067,3641.9076,5122.428,3626.4603,2946.6435,8085.1509,1652.8672,6648.6598,6672.5872,10056.4586,6562.4512,2294.502,3233.7402,3816.4003,7592.8714,3711.9568
HEXITOLDEGSUPER-PWY,11162.507,5291.0543,9446.1487,11403.4649,15826.6576,17449.0593,12986.8397,5956.5828,7665.8888,9200.6378,11706.6995,7825.9119,9514.944,5914.7619,6639.3402,10258.4341,11023.6203,4873.9932,13540.084,14424.6969,8272.2244,12209.8163,8432.3555,5390.8013,9525.4615,9967.5621,7665.9352,6638.3741,1901.7699,9765.9831,7129.8617,14821.7129,3516.686,13112.0711,11728.0087,4645.9264,9831.0661,7525.8868,7781.0112,10597.1643,9789.855,9753.9498,9065.346,13237.0866,30574.519,12821.4745,8519.0101,7898.7766,9384.1122,13109.3489,11345.2933,8601.6051,14255.4006
HISDEG-PWY,11508.0283,17732.7343,12714.8994,10129.154,8774.4556,11649.3281,21247.0754,11018.1132,19026.8131,15510.5832,19033.6676,23831.9352,12809.7804,10918.9974,10620.2865,18609.9539,18620.8221,10601.9774,16426.1194,22312.9603,10622.0926,16036.7802,18550.0707,9729.1541,14320.1774,17797.6569,8257.3456,11277.3718,3736.7579,13076.2351,8128.0873,15877.7057,12080.1934,6805.7845,8012.6649,13606.0848,8330.3957,20340.2112,6326.4106,19550.211,10384.5492,13769.3151,17567.6796,19882.3669,10946.9301,15335.3857,12983.3181,9865.198,12138.5066,11753.6929,13405.6834,19056.9639,8632.1273
HISTSYN-PWY,37359.7264,50399.6649,42457.6728,39414.6903,49388.7619,55378.6412,63141.7146,45652.6478,48020.2611,42830.9486,32373.6942,47246.6936,45629.4738,25498.398,37897.5135,48117.8241,39992.9734,35559.4551,52494.9447,47163.3409,53285.4495,44087.8054,45026.7741,39518.8689,45035.9837,49643.6431,38504.5154,43406.5591,14442.2982,42399.1067,36112.3168,35754.1526,31605.9099,43657.9965,40528.5295,38264.7016,39217.1471,48899.4537,36103.6458,40924.9621,50090.194,38759.1371,45711.8133,49109.1752,42185.4685,55480.102,27951.031,49768.6812,43417.0648,49521.1811,40826.5277,45138.8001,41334.6103
homolactic fermentation,34549.1605,44775.7804,33136.2108,32577.3323,35000.9245,39510.9002,50796.8959,38514.0526,44167.3326,38210.8685,34266.3531,44720.2944,34545.6661,24533.3466,32810.3948,45440.4985,43504.1257,25259.0186,42675.2423,40112.5489,49556.1629,41804.7743,42883.933,36269.1921,41417.8491,44990.0012,31280.0112,36555.2679,11803.5385,34198.0224,28418.1557,40359.5646,29841.5895,42437.2517,44122.6631,34715.2651,25982.825,46750.6676,29696.7717,40969.7822,40134.7137,31722.055,47096.4064,52896.0325,45987.9311,38633.0405,30745.8286,36272.7659,34162.288,40927.0314,35204.5306,42971.0962,36161.4405
HOMOSER-METSYN-PWY,14306.5231,9770.2522,12388.8971,17384.9179,17992.8464,28443.6066,20842.8626,14768.8737,13377.3373,11686.2344,13655.5968,17463.2505,10906.6804,9308.7594,15176.2057,17978.7635,15821.3359,14056.7755,20332.3357,18431.0765,22630.155,15733.851,15817.6029,13686.7463,19360.6862,21251.9738,11251.4884,15276.0882,4252.8586,13333.0065,14645.3842,17746.2476,10738.9329,23079.3155,19609.3899,11706.7583,15212.7645,14933.2004,14946.8927,14686.4146,13992.3415,13689.5883,12644.0307,22237.347,36698.8097,19805.6357,13414.443,9339.9964,15516.1659,24263.5027,14589.7819,10738.379,22797.3059
