"","R","P","microbe1","microbe2"
"cor25",NA,NA,"Methanobrevibacter","Rikenellaceae_RC9_gut_group"
"cor26",0.114785338598426,0.629890969630677,"Methanobrevibacter","Parabacteroides"
"cor27",-0.0418023273641235,0.861092090397273,"Methanobrevibacter","Bilophila"
"cor28",-0.100168970180645,0.674350781645966,"Methanobrevibacter","Desulfovibrio"
"cor29",NA,NA,"Methanobrevibacter","Elusimicrobium"
"cor30",NA,NA,"Methanobrevibacter","Bacillus"
"cor31",-0.136421683855174,0.566302936015059,"Methanobrevibacter","Candidatus_Stoquefichus"
"cor32",0.377489158037337,0.100828730408708,"Methanobrevibacter","Catenibacterium"
"cor33",-0.0859896016019269,0.718499772552516,"Methanobrevibacter","Coprobacillus"
"cor34",-0.165257284454955,0.486255601317916,"Methanobrevibacter","Erysipelatoclostridium"
"cor35",0.549308024354944,0.0121197641975398,"Methanobrevibacter","Erysipelotrichaceae_UCG-003"
"cor36",-0.139680866257082,0.556974689555861,"Methanobrevibacter","Dielma"
"cor37",0.893844142582162,1.09973679814618e-07,"Methanobrevibacter","Faecalicoccus"
"cor38",-0.167215129211157,0.481032102286863,"Methanobrevibacter","Faecalitalea"
"cor39",-0.0785231728475123,0.742107706873595,"Methanobrevibacter","Holdemanella"
"cor40",-0.0959303637948154,0.687448720237303,"Methanobrevibacter","Holdemania"
"cor41",-0.100700472343056,0.672714612283497,"Methanobrevibacter","Merdibacter"
"cor42",-0.146974250625811,0.536351811378187,"Methanobrevibacter","Solobacterium"
"cor43",-0.222200829887991,0.346411773621427,"Methanobrevibacter","Turicibacter"
"cor44",-0.0934546914967742,0.695139054200658,"Methanobrevibacter","Granulicatella"
"cor45",0.0729668687822173,0.759822432330029,"Methanobrevibacter","Enterococcus"
"cor46",0.230360431225593,0.328522273196496,"Methanobrevibacter","Lactobacillus"
"cor47",NA,NA,"Methanobrevibacter","Leuconostoc"
"cor48",NA,NA,"Methanobrevibacter","Weissella"
"cor49",-0.012353780765105,0.958774047271755,"Methanobrevibacter","Lactococcus"
"cor50",-0.0745252658293117,0.754841871939855,"Methanobrevibacter","Streptococcus"
"cor51",-0.11572053754982,0.627085591663934,"Methanobrevibacter","Gemella"
"cor52",-0.0790474411807354,0.740442500278478,"Methanobrevibacter","Staphylococcus"
"cor53",0.665710604943757,0.00135610302912533,"Methanobrevibacter","Christensenella"
"cor54",-0.15133845591798,0.52418210981526,"Methanobrevibacter","Christensenellaceae_R-7_group"
"cor55",-0.168827050626139,0.476752583283266,"Methanobrevibacter","Ruminiclostridium"
"cor56",-0.0486746565255668,0.838522662363653,"Methanobrevibacter","Clostridium_sensu_stricto_1"
"cor57",-0.0461485051312895,0.846805639630451,"Methanobrevibacter","Anaerofustis"
"cor58",-0.0648447340842579,0.785923859540666,"Methanobrevibacter","Eubacterium"
"cor59",-0.255400393829134,0.277128773675668,"Methanobrevibacter","Defluviitaleaceae_UCG-011"
"cor60",0.247776474283672,0.292213628174393,"Methanobrevibacter","Agathobacter"
"cor61",NA,NA,"Methanobrevibacter","Anaerosporobacter"
"cor62",-0.0155010293840736,0.948283413321537,"Methanobrevibacter","Anaerostipes"
"cor63",0.431616111200064,0.0574008006689716,"Methanobrevibacter","Blautia"
"cor64",-0.0802065383886387,0.73676487139529,"Methanobrevibacter","CAG-56"
"cor65",0.222322028275391,0.346141983318754,"Methanobrevibacter","Coprococcus"
"cor66",0.261890053560349,0.264677754891475,"Methanobrevibacter","Dorea"
"cor67",-0.215203936672529,0.362193759336828,"Methanobrevibacter","Eisenbergiella"
"cor68",-0.0790474411807354,0.740442500278477,"Methanobrevibacter","FD2005"
"cor69",-0.0527209262386817,0.825289724597391,"Methanobrevibacter","Frisingicoccus"
"cor70",0.349797612950276,0.130572458050575,"Methanobrevibacter","Fusicatenibacter"
"cor71",-0.049688771702054,0.835202032749607,"Methanobrevibacter","GCA-900066575"
"cor72",-0.136147706127952,0.567090208293568,"Methanobrevibacter","GCA-900066755"
"cor73",-0.136463527795906,0.566182740065972,"Methanobrevibacter","Howardella"
"cor74",0.00271352245789432,0.990941163307441,"Methanobrevibacter","Hungatella"
"cor75",-0.0146052554471466,0.951268509717437,"Methanobrevibacter","Lachnoclostridium"
"cor76",-0.190780234758066,0.420416213417687,"Methanobrevibacter","Lachnospira"
"cor77",-0.0790474411807354,0.740442500278477,"Methanobrevibacter","Lachnospiraceae_AC2044_group"
"cor78",-0.0640601794082198,0.788457282107658,"Methanobrevibacter","Lachnospiraceae_FCS020_group"
"cor79",-0.0906274842270695,0.703956535147264,"Methanobrevibacter","Lachnospiraceae_ND3007_group"
"cor80",-0.11900841111499,0.617262002402227,"Methanobrevibacter","Lachnospiraceae_NK4A136_group"
"cor81",-0.0282996695689741,0.90572382193867,"Methanobrevibacter","Lachnospiraceae_NK4B4_group"
"cor82",-0.0863753497048979,0.717286524817022,"Methanobrevibacter","Lachnospiraceae_UCG-001"
"cor83",-0.0823689954296,0.729918505567042,"Methanobrevibacter","Lachnospiraceae_UCG-002"
"cor84",-0.0790474411807354,0.740442500278478,"Methanobrevibacter","Lachnospiraceae_UCG-003"
"cor85",-0.166868267080519,0.481955484448868,"Methanobrevibacter","Lachnospiraceae_UCG-004"
"cor86",-0.100818256527698,0.67235221826932,"Methanobrevibacter","Lachnospiraceae_UCG-010"
"cor87",-0.0543232233344537,0.820061877199369,"Methanobrevibacter","Lactonifactor"
"cor88",-0.100173654883314,0.674336354156067,"Methanobrevibacter","Marvinbryantia"
"cor89",-0.139478528016804,0.557551812473239,"Methanobrevibacter","Roseburia"
"cor90",-0.115219628330263,0.628587592347239,"Methanobrevibacter","Sellimonas"
"cor91",-0.170070529303457,0.473464319848001,"Methanobrevibacter","Shuttleworthia"
"cor92",0.0746438424021976,0.754463285434179,"Methanobrevibacter","Tuzzerella"
"cor93",-0.0848182788377549,0.722187760739013,"Methanobrevibacter","Tyzzerella"
"cor94",-0.126676078906897,0.59459631682236,"Methanobrevibacter","UC5-1-2E3"
"cor95",-0.273260449407362,0.243725998924277,"Methanobrevibacter","Monoglobus"
"cor96",-0.0398850144309747,0.867408040918367,"Methanobrevibacter","Butyricicoccus"
"cor97",-0.0966030619801266,0.685364134658698,"Methanobrevibacter","UCG-008"
"cor98",-0.114073536784563,0.632029485526971,"Methanobrevibacter","UCG-009"
"cor99",-0.094366971707387,0.692301798546538,"Methanobrevibacter","Acetanaerobacterium"
"cor100",-0.21059025352076,0.372821401123356,"Methanobrevibacter","Colidextribacter"
"cor101",-0.234422160858787,0.319825349912839,"Methanobrevibacter","Flavonifractor"
"cor102",-0.155444106982449,0.512852851770621,"Methanobrevibacter","Intestinimonas"
"cor103",-0.169954987260297,0.473769378741789,"Methanobrevibacter","NK4A214_group"
"cor104",-0.161381384805448,0.496678457429576,"Methanobrevibacter","Oscillibacter"
"cor105",-0.126250595474939,0.595844894997794,"Methanobrevibacter","Oscillospira"
"cor106",-0.0927762537773945,0.697251578323526,"Methanobrevibacter","Pseudoflavonifractor"
"cor107",-0.0412896931940821,0.862780014240579,"Methanobrevibacter","UCG-002"
"cor108",0.269551458225616,0.250439710754183,"Methanobrevibacter","UCG-003"
"cor109",-0.138802203296144,0.559482799639135,"Methanobrevibacter","UCG-005"
"cor110",-0.0790474411807354,0.740442500278477,"Methanobrevibacter","Hydrogenoanaerobacterium"
"cor111",-0.070638110742109,0.767281966829985,"Methanobrevibacter","Anaerofilum"
"cor112",-0.174343424252259,0.462252524913607,"Methanobrevibacter","Anaerotruncus"
"cor113",0.357812108154313,0.121393294993205,"Methanobrevibacter","Angelakisella"
"cor114",-0.0790474411807354,0.740442500278478,"Methanobrevibacter","CAG-352"
"cor115",0.270305762106601,0.249064874441844,"Methanobrevibacter","Candidatus_Soleaferrea"
"cor116",0.399233468337598,0.0811900515264149,"Methanobrevibacter","Caproiciproducens"
"cor117",0.0241860181864483,0.91938149142434,"Methanobrevibacter","DTU089"
"cor118",0.0580317191517463,0.807990427557398,"Methanobrevibacter","Faecalibacterium"
"cor119",-0.108359046574615,0.649298780923985,"Methanobrevibacter","Fournierella"
"cor120",-0.181339828541485,0.444191035660168,"Methanobrevibacter","Incertae_Sedis"
"cor121",-0.0314542030135434,0.895267543912424,"Methanobrevibacter","Negativibacillus"
"cor122",-0.0642301964609402,0.787908101846439,"Methanobrevibacter","Paludicola"
"cor123",0.644810017813074,0.00214437349198452,"Methanobrevibacter","Phocea"
"cor124",0.0474654934481203,0.842485391688825,"Methanobrevibacter","Pygmaiobacter"
"cor125",-0.111899270268326,0.638579168312597,"Methanobrevibacter","Ruminococcus"
"cor126",-0.200682622685447,0.396230864590479,"Methanobrevibacter","Subdoligranulum"
"cor127",-0.180454718163773,0.446455412888079,"Methanobrevibacter","UBA1819"
"cor128",-0.113335597480461,0.634249501737121,"Methanobrevibacter","Peptococcus"
"cor129",-0.0712112632555208,0.765444174421457,"Methanobrevibacter","Family_XIII_AD3011_group"
"cor130",-0.14080716021457,0.553767068194498,"Methanobrevibacter","Family_XIII_UCG-001"
"cor131",-0.1843226090218,0.436604494536612,"Methanobrevibacter","Intestinibacter"
"cor132",-0.22065332158567,0.349867306569674,"Methanobrevibacter","Romboutsia"
"cor133",-0.114832223853182,0.629750208210167,"Methanobrevibacter","Terrisporobacter"
"cor134",-0.113572813786693,0.633535531127533,"Methanobrevibacter","Anaerococcus"
"cor135",0.0896487385128512,0.707017604291511,"Methanobrevibacter","Acidaminococcus"
"cor136",0.0534362521828548,0.822954927594736,"Methanobrevibacter","Phascolarctobacterium"
"cor137",NA,NA,"Methanobrevibacter","Succiniclasticum"
"cor138",NA,NA,"Methanobrevibacter","Megamonas"
"cor139",NA,NA,"Methanobrevibacter","Mitsuokella"
"cor140",0.188794183257514,0.425360283356114,"Methanobrevibacter","Allisonella"
"cor141",-0.149362320364045,0.529676551154187,"Methanobrevibacter","Dialister"
"cor142",0.220683588498728,0.349799530640062,"Methanobrevibacter","Megasphaera"
"cor143",-0.0140243046607129,0.953204819193135,"Methanobrevibacter","Veillonella"
"cor144",-0.0824542687209961,0.729648928239468,"Methanobrevibacter","Fusobacterium"
"cor145",0.883263452243872,2.48489949324291e-07,"Methanobrevibacter","TM7x"
"cor146",NA,NA,"Methanobrevibacter","Succinivibrio"
"cor147",0.0360964836754674,0.879910519748548,"Methanobrevibacter","Ralstonia"
"cor148",NA,NA,"Methanobrevibacter","Comamonas"
"cor149",-0.0899557570044153,0.706056922164905,"Methanobrevibacter","Oxalobacter"
"cor150",-0.169443615230718,0.47512070909826,"Methanobrevibacter","Parasutterella"
"cor151",-0.0385026034706828,0.87196676085568,"Methanobrevibacter","Sutterella"
"cor152",NA,NA,"Methanobrevibacter","Citrobacter"
"cor153",NA,NA,"Methanobrevibacter","Enterobacter"
"cor154",-0.046470576503319,0.845748723273729,"Methanobrevibacter","Escherichia/Shigella"
"cor155",NA,NA,"Methanobrevibacter","Klebsiella"
"cor156",-0.127566637197232,0.591986523709968,"Methanobrevibacter","Haemophilus"
"cor157",-0.0790474411807354,0.740442500278478,"Methanobrevibacter","Pseudomonas"
"cor158",NA,NA,"Methanobrevibacter","Cloacibacillus"
"cor159",0.217206022378314,0.357636496898247,"Methanobrevibacter","Akkermansia"
"cor161",NA,NA,"Methanosphaera","Methanosphaera"
"cor162",NA,NA,"Methanosphaera","Actinomyces"
"cor163",NA,NA,"Methanosphaera","Bifidobacterium"
"cor164",NA,NA,"Methanosphaera","Coriobacteriaceae_UCG-002"
"cor165",NA,NA,"Methanosphaera","Collinsella"
"cor166",NA,NA,"Methanosphaera","Adlercreutzia"
"cor167",NA,NA,"Methanosphaera","DNF00809"
"cor168",NA,NA,"Methanosphaera","Eggerthella"
"cor169",NA,NA,"Methanosphaera","Enterorhabdus"
"cor170",NA,NA,"Methanosphaera","Gordonibacter"
"cor171",NA,NA,"Methanosphaera","Senegalimassilia"
"cor172",NA,NA,"Methanosphaera","Slackia"
"cor173",NA,NA,"Methanosphaera","Bacteroides"
"cor174",NA,NA,"Methanosphaera","Barnesiella"
"cor175",NA,NA,"Methanosphaera","Coprobacter"
"cor176",NA,NA,"Methanosphaera","Butyricimonas"
"cor177",NA,NA,"Methanosphaera","Odoribacter"
"cor178",NA,NA,"Methanosphaera","CAG-873"
"cor179",NA,NA,"Methanosphaera","Porphyromonas"
"cor180",NA,NA,"Methanosphaera","Alloprevotella"
"cor181",NA,NA,"Methanosphaera","Paraprevotella"
"cor182",NA,NA,"Methanosphaera","Prevotella"
"cor183",NA,NA,"Methanosphaera","Prevotellaceae_NK3B31_group"
"cor184",NA,NA,"Methanosphaera","Alistipes"
"cor185",NA,NA,"Methanosphaera","Rikenellaceae_RC9_gut_group"
"cor186",NA,NA,"Methanosphaera","Parabacteroides"
"cor187",NA,NA,"Methanosphaera","Bilophila"
"cor188",NA,NA,"Methanosphaera","Desulfovibrio"
"cor189",NA,NA,"Methanosphaera","Elusimicrobium"
"cor190",NA,NA,"Methanosphaera","Bacillus"
"cor191",NA,NA,"Methanosphaera","Candidatus_Stoquefichus"
"cor192",NA,NA,"Methanosphaera","Catenibacterium"
"cor193",NA,NA,"Methanosphaera","Coprobacillus"
"cor194",NA,NA,"Methanosphaera","Erysipelatoclostridium"
"cor195",NA,NA,"Methanosphaera","Erysipelotrichaceae_UCG-003"
"cor196",NA,NA,"Methanosphaera","Dielma"
"cor197",NA,NA,"Methanosphaera","Faecalicoccus"
"cor198",NA,NA,"Methanosphaera","Faecalitalea"
"cor199",NA,NA,"Methanosphaera","Holdemanella"
"cor200",NA,NA,"Methanosphaera","Holdemania"
"cor201",NA,NA,"Methanosphaera","Merdibacter"
"cor202",NA,NA,"Methanosphaera","Solobacterium"
"cor203",NA,NA,"Methanosphaera","Turicibacter"
"cor204",NA,NA,"Methanosphaera","Granulicatella"
"cor205",NA,NA,"Methanosphaera","Enterococcus"
"cor206",NA,NA,"Methanosphaera","Lactobacillus"
"cor207",NA,NA,"Methanosphaera","Leuconostoc"
"cor208",NA,NA,"Methanosphaera","Weissella"
"cor209",NA,NA,"Methanosphaera","Lactococcus"
"cor210",NA,NA,"Methanosphaera","Streptococcus"
"cor211",NA,NA,"Methanosphaera","Gemella"
"cor212",NA,NA,"Methanosphaera","Staphylococcus"
"cor213",NA,NA,"Methanosphaera","Christensenella"
"cor214",NA,NA,"Methanosphaera","Christensenellaceae_R-7_group"
"cor215",NA,NA,"Methanosphaera","Ruminiclostridium"
"cor216",NA,NA,"Methanosphaera","Clostridium_sensu_stricto_1"
"cor217",NA,NA,"Methanosphaera","Anaerofustis"
"cor218",NA,NA,"Methanosphaera","Eubacterium"
"cor219",NA,NA,"Methanosphaera","Defluviitaleaceae_UCG-011"
"cor220",NA,NA,"Methanosphaera","Agathobacter"
"cor221",NA,NA,"Methanosphaera","Anaerosporobacter"
"cor222",NA,NA,"Methanosphaera","Anaerostipes"
"cor223",NA,NA,"Methanosphaera","Blautia"
"cor224",NA,NA,"Methanosphaera","CAG-56"
"cor225",NA,NA,"Methanosphaera","Coprococcus"
"cor226",NA,NA,"Methanosphaera","Dorea"
"cor227",NA,NA,"Methanosphaera","Eisenbergiella"
"cor228",NA,NA,"Methanosphaera","FD2005"
"cor229",NA,NA,"Methanosphaera","Frisingicoccus"
"cor230",NA,NA,"Methanosphaera","Fusicatenibacter"
"cor231",NA,NA,"Methanosphaera","GCA-900066575"
"cor232",NA,NA,"Methanosphaera","GCA-900066755"
"cor233",NA,NA,"Methanosphaera","Howardella"
"cor234",NA,NA,"Methanosphaera","Hungatella"
"cor235",NA,NA,"Methanosphaera","Lachnoclostridium"
"cor236",NA,NA,"Methanosphaera","Lachnospira"
"cor237",NA,NA,"Methanosphaera","Lachnospiraceae_AC2044_group"
"cor238",NA,NA,"Methanosphaera","Lachnospiraceae_FCS020_group"
"cor239",NA,NA,"Methanosphaera","Lachnospiraceae_ND3007_group"
"cor240",NA,NA,"Methanosphaera","Lachnospiraceae_NK4A136_group"
"cor241",NA,NA,"Methanosphaera","Lachnospiraceae_NK4B4_group"
"cor242",NA,NA,"Methanosphaera","Lachnospiraceae_UCG-001"
"cor243",NA,NA,"Methanosphaera","Lachnospiraceae_UCG-002"
"cor244",NA,NA,"Methanosphaera","Lachnospiraceae_UCG-003"
"cor245",NA,NA,"Methanosphaera","Lachnospiraceae_UCG-004"
"cor246",NA,NA,"Methanosphaera","Lachnospiraceae_UCG-010"
"cor247",NA,NA,"Methanosphaera","Lactonifactor"
"cor248",NA,NA,"Methanosphaera","Marvinbryantia"
"cor249",NA,NA,"Methanosphaera","Roseburia"
"cor250",NA,NA,"Methanosphaera","Sellimonas"
"cor251",NA,NA,"Methanosphaera","Shuttleworthia"
"cor252",NA,NA,"Methanosphaera","Tuzzerella"
"cor253",NA,NA,"Methanosphaera","Tyzzerella"
"cor254",NA,NA,"Methanosphaera","UC5-1-2E3"
"cor255",NA,NA,"Methanosphaera","Monoglobus"
"cor256",NA,NA,"Methanosphaera","Butyricicoccus"
"cor257",NA,NA,"Methanosphaera","UCG-008"
"cor258",NA,NA,"Methanosphaera","UCG-009"
"cor259",NA,NA,"Methanosphaera","Acetanaerobacterium"
"cor260",NA,NA,"Methanosphaera","Colidextribacter"
"cor261",NA,NA,"Methanosphaera","Flavonifractor"
"cor262",NA,NA,"Methanosphaera","Intestinimonas"
"cor263",NA,NA,"Methanosphaera","NK4A214_group"
"cor264",NA,NA,"Methanosphaera","Oscillibacter"
"cor265",NA,NA,"Methanosphaera","Oscillospira"
"cor266",NA,NA,"Methanosphaera","Pseudoflavonifractor"
"cor267",NA,NA,"Methanosphaera","UCG-002"
"cor268",NA,NA,"Methanosphaera","UCG-003"
"cor269",NA,NA,"Methanosphaera","UCG-005"
"cor270",NA,NA,"Methanosphaera","Hydrogenoanaerobacterium"
"cor271",NA,NA,"Methanosphaera","Anaerofilum"
"cor272",NA,NA,"Methanosphaera","Anaerotruncus"
"cor273",NA,NA,"Methanosphaera","Angelakisella"
"cor274",NA,NA,"Methanosphaera","CAG-352"
"cor275",NA,NA,"Methanosphaera","Candidatus_Soleaferrea"
"cor276",NA,NA,"Methanosphaera","Caproiciproducens"
"cor277",NA,NA,"Methanosphaera","DTU089"
"cor278",NA,NA,"Methanosphaera","Faecalibacterium"
"cor279",NA,NA,"Methanosphaera","Fournierella"
"cor280",NA,NA,"Methanosphaera","Incertae_Sedis"
"cor281",NA,NA,"Methanosphaera","Negativibacillus"
"cor282",NA,NA,"Methanosphaera","Paludicola"
"cor283",NA,NA,"Methanosphaera","Phocea"
"cor284",NA,NA,"Methanosphaera","Pygmaiobacter"
"cor285",NA,NA,"Methanosphaera","Ruminococcus"
"cor286",NA,NA,"Methanosphaera","Subdoligranulum"
"cor287",NA,NA,"Methanosphaera","UBA1819"
"cor288",NA,NA,"Methanosphaera","Peptococcus"
"cor289",NA,NA,"Methanosphaera","Family_XIII_AD3011_group"
"cor290",NA,NA,"Methanosphaera","Family_XIII_UCG-001"
"cor291",NA,NA,"Methanosphaera","Intestinibacter"
"cor292",NA,NA,"Methanosphaera","Romboutsia"
"cor293",NA,NA,"Methanosphaera","Terrisporobacter"
"cor294",NA,NA,"Methanosphaera","Anaerococcus"
"cor295",NA,NA,"Methanosphaera","Acidaminococcus"
"cor296",NA,NA,"Methanosphaera","Phascolarctobacterium"
"cor297",NA,NA,"Methanosphaera","Succiniclasticum"
"cor298",NA,NA,"Methanosphaera","Megamonas"
"cor299",NA,NA,"Methanosphaera","Mitsuokella"
"cor300",NA,NA,"Methanosphaera","Allisonella"
"cor301",NA,NA,"Methanosphaera","Dialister"
"cor302",NA,NA,"Methanosphaera","Megasphaera"
"cor303",NA,NA,"Methanosphaera","Veillonella"
"cor304",NA,NA,"Methanosphaera","Fusobacterium"
"cor305",NA,NA,"Methanosphaera","TM7x"
"cor306",NA,NA,"Methanosphaera","Succinivibrio"
"cor307",NA,NA,"Methanosphaera","Ralstonia"
"cor308",NA,NA,"Methanosphaera","Comamonas"
"cor309",NA,NA,"Methanosphaera","Oxalobacter"
"cor310",NA,NA,"Methanosphaera","Parasutterella"
"cor311",NA,NA,"Methanosphaera","Sutterella"
"cor312",NA,NA,"Methanosphaera","Citrobacter"
"cor313",NA,NA,"Methanosphaera","Enterobacter"
"cor314",NA,NA,"Methanosphaera","Escherichia/Shigella"
"cor315",NA,NA,"Methanosphaera","Klebsiella"
"cor316",NA,NA,"Methanosphaera","Haemophilus"
"cor317",NA,NA,"Methanosphaera","Pseudomonas"
"cor318",NA,NA,"Methanosphaera","Cloacibacillus"
"cor319",NA,NA,"Methanosphaera","Akkermansia"
"cor322",1,0,"Actinomyces","Actinomyces"
"cor323",-0.0490153013620337,0.83740695530174,"Actinomyces","Bifidobacterium"
"cor324",NA,NA,"Actinomyces","Coriobacteriaceae_UCG-002"
"cor325",0.122109277383997,0.608054115843638,"Actinomyces","Collinsella"
"cor326",-0.211725427234593,0.370190305726782,"Actinomyces","Adlercreutzia"
"cor327",-0.151744711454359,0.523055876687546,"Actinomyces","DNF00809"
"cor328",0.304310501288675,0.192067343636433,"Actinomyces","Eggerthella"
"cor329",-0.103112104831741,0.665308543385013,"Actinomyces","Enterorhabdus"
"cor330",0.520836432423303,0.0185405573168506,"Actinomyces","Gordonibacter"
"cor331",-0.103112104831741,0.665308543385013,"Actinomyces","Senegalimassilia"
"cor332",-0.0847557947360898,0.72238466280096,"Actinomyces","Slackia"
"cor333",-0.116510049367488,0.624721069149122,"Actinomyces","Bacteroides"
"cor334",-0.148859188075115,0.531079717199234,"Actinomyces","Barnesiella"
"cor335",0.815462305113733,1.18070362686272e-05,"Actinomyces","Coprobacter"
"cor336",-0.169816711817483,0.474134589054542,"Actinomyces","Butyricimonas"
"cor337",-0.205050477394476,0.385812458637152,"Actinomyces","Odoribacter"
"cor338",0.0154832873070026,0.948342531089605,"Actinomyces","CAG-873"
"cor339",0.0248381029798976,0.917214968319599,"Actinomyces","Porphyromonas"
"cor340",-0.0372257758657722,0.87618076143276,"Actinomyces","Alloprevotella"
"cor341",-0.0494595149032782,0.835952480872159,"Actinomyces","Paraprevotella"
"cor342",-0.097888543250266,0.68138672404045,"Actinomyces","Prevotella"
"cor343",-0.0372257758657722,0.87618076143276,"Actinomyces","Prevotellaceae_NK3B31_group"
"cor344",-0.24978370302399,0.288194158491622,"Actinomyces","Alistipes"
"cor345",NA,NA,"Actinomyces","Rikenellaceae_RC9_gut_group"
"cor346",0.0755515112826394,0.751567108353851,"Actinomyces","Parabacteroides"
"cor347",-0.133996736745393,0.573287579110244,"Actinomyces","Bilophila"
"cor348",-0.0374950004787598,0.875291950496436,"Actinomyces","Desulfovibrio"
"cor349",NA,NA,"Actinomyces","Elusimicrobium"
"cor350",NA,NA,"Actinomyces","Bacillus"
"cor351",0.225791779946906,0.338470191212697,"Actinomyces","Candidatus_Stoquefichus"
"cor352",-0.0360186769250085,0.880167585780555,"Actinomyces","Catenibacterium"
"cor353",-0.112167689205079,0.63776918456393,"Actinomyces","Coprobacillus"
"cor354",-0.0716136060471587,0.764154796918636,"Actinomyces","Erysipelatoclostridium"
"cor355",-0.112377660196148,0.637135849293343,"Actinomyces","Erysipelotrichaceae_UCG-003"
"cor356",-0.218226961534909,0.355325335887094,"Actinomyces","Dielma"
"cor357",0.120901413652552,0.611634164333592,"Actinomyces","Faecalicoccus"
"cor358",-0.155545901184131,0.512573447565504,"Actinomyces","Faecalitalea"
"cor359",-0.101433345762287,0.670460866115899,"Actinomyces","Holdemanella"
"cor360",-0.174545869319139,0.461724706260862,"Actinomyces","Holdemania"
"cor361",-0.131357037062113,0.58093290825462,"Actinomyces","Merdibacter"
"cor362",0.741269108366441,0.000184215996179254,"Actinomyces","Solobacterium"
"cor363",-0.261418993300012,0.265569466763377,"Actinomyces","Turicibacter"
"cor364",0.937794860550837,1.05545990834581e-09,"Actinomyces","Granulicatella"
"cor365",0.226319539998102,0.337312098441945,"Actinomyces","Enterococcus"
"cor366",0.104725643385049,0.660369962767096,"Actinomyces","Lactobacillus"
"cor367",NA,NA,"Actinomyces","Leuconostoc"
"cor368",NA,NA,"Actinomyces","Weissella"
"cor369",-0.110072866337506,0.644100972502899,"Actinomyces","Lactococcus"
"cor370",0.915754042258427,1.49074284419643e-08,"Actinomyces","Streptococcus"
"cor371",-0.0227006331371098,0.924318637277155,"Actinomyces","Gemella"
"cor372",0.931303259933964,2.51765694566051e-09,"Actinomyces","Staphylococcus"
"cor373",0.0136960682789234,0.954298943632078,"Actinomyces","Christensenella"
"cor374",-0.113475288989583,0.633829022313277,"Actinomyces","Christensenellaceae_R-7_group"
"cor375",-0.157859965039183,0.506241442402056,"Actinomyces","Ruminiclostridium"
"cor376",-0.181385608148592,0.444074080916849,"Actinomyces","Clostridium_sensu_stricto_1"
"cor377",-0.114185940970709,0.631691594129648,"Actinomyces","Anaerofustis"
"cor378",-0.0482258428556626,0.839993105295083,"Actinomyces","Eubacterium"
"cor379",-0.0528448575706665,0.82488511566217,"Actinomyces","Defluviitaleaceae_UCG-011"
"cor380",-0.240396213136015,0.307286606849191,"Actinomyces","Agathobacter"
"cor381",NA,NA,"Actinomyces","Anaerosporobacter"
"cor382",0.891658932127855,1.31025309338045e-07,"Actinomyces","Anaerostipes"
"cor383",-0.166150742281389,0.483868400138584,"Actinomyces","Blautia"
"cor384",-0.138305129784625,0.56090389090445,"Actinomyces","CAG-56"
"cor385",-0.114646886740412,0.630306708882334,"Actinomyces","Coprococcus"
"cor386",-0.149469779811648,0.529377085055436,"Actinomyces","Dorea"
"cor387",-0.00331978987218425,0.988917305296862,"Actinomyces","Eisenbergiella"
"cor388",-0.0635803074521596,0.790007857239489,"Actinomyces","FD2005"
