"chen_term","chen_1","chen_2","chen_3","chen_4","chen_5","chen_6","chen_7","chen_8","chen_9","chen_10","chen_11","chen_12","chen_13","chen_14","chen_15","chen_16","chen_17","chen_18","chen_19","chen_20","chen_21","chen_22","chen_23","chen_24","chen_25","chen_26","chen_27","chen_28","chen_29","chen_30"
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia.NA",0.00674603506921504,0.00210873651441773,3.98087874186678e-05,2.02601192259126e-35,0.000671823033281981,9.77085544869833e-55,5.92852973144929e-08,0.00106170565884042,0.00109235449020118,0.00139685558058024,1.97839870412393e-07,0.00389022613550591,0.00016186782181906,0.000326886068704032,7.85202087812382e-06,0.000687975570095109,0.00230663249053331,0.0101897284425651,0.000732091601210412,0.0059650879608296,0.0045239542046416,7.65487299225617e-08,2.71719540845194e-11,0.00186069576266932,0.00395532959596853,0.00299134056315209,0.00618303732407643,0.0023394894344235,0.00210827247638318,0.00054466197483659
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.DNF00809.NA",0.000288334697116652,0.000536284172377327,0.000174297459329935,4.50573964145693e-33,7.64736170141918e-14,2.91783936141932e-61,3.10085675112175e-05,3.87157137300962e-10,0.00030000365696366,1.22444507106946e-27,3.78313182327745e-16,9.33142991928234e-05,4.26308614066382e-13,0.000297284839913554,0.000161840296400117,0.000351480506518216,7.02377184459401e-42,0.00153871357592582,8.71540591146975e-06,9.82123102399551e-05,0.00090711091782599,5.24895527129958e-05,0.000463276967507695,0.000245810084652121,0.000124248105795332,2.29810394643723e-05,1.82709270394363e-08,7.87117285310471e-05,0.000617979644333589,9.19996417674136e-06
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Eggerthella.lenta",0.00308865051268643,4.90999555723109e-13,2.56471076182996e-14,0.000639634314477271,0.000960684223331728,0.00368616275614772,0.00512740019963441,1.57960476054323e-09,9.02784340655117e-23,0.0015600245918648,0.00740736605023231,0.000920600923226061,9.56689834349159e-38,2.03416920589337e-94,4.02620560320185e-05,8.73805120961113e-23,0.0303545095759815,0.0050831427027257,4.75925669873834e-10,2.62559488386706e-11,2.54882011465053e-15,4.26898549667852e-11,0.00421232181099854,7.68996348626097e-16,0.00109771945596018,0.006706147643909,0.00252889261017461,0.0012293680640402,8.53630736286823e-05,1.70646117612503e-12
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Enterorhabdus.NA",8.31691148367123e-27,6.83220116675103e-05,0.000836377543728394,1.28182110039102e-19,2.19199683007134e-17,1.42930799469629e-05,2.13470751063244e-12,3.60530823404693e-05,0.001066402608332,7.35833417644783e-33,3.05579577936992e-55,1.87569490009282e-16,5.30152398057756e-27,0.00650090214145297,1.14258915768806e-13,2.51283396364523e-26,1.12565472239927e-41,8.47549553893565e-77,3.57663788707841e-36,0.0028260942547398,7.24555979081607e-30,6.96420762783849e-05,6.14567200374551e-34,5.40710352022313e-21,8.53359924793828e-11,3.81515531813768e-36,3.31181195907222e-75,7.60708661008759e-38,2.09170274537774e-06,7.89479620206492e-22
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Gordonibacter.pamelaeae",0.00134803716455396,0.000651264073324203,1.25855491663923e-11,0.000148267564113165,0.000565664487346531,0.000335444482910163,4.74007900418583e-08,7.70945831626448e-08,1.3276342953096e-05,0.000506636459932917,0.00119173165652553,0.000493531579597784,3.03427436349693e-49,7.30887737229663e-71,0.000365982747356251,8.68859679944949e-05,0.00943549008366721,0.00299690602967919,7.16745556205975e-15,1.79625577740741e-05,2.96076243806429e-10,3.01780956970598e-08,3.71775235631914e-06,1.40970392329665e-05,0.00210507303261389,0.00074726874188389,0.0011158108377065,2.33980413963389e-24,1.27141104886083e-05,0.000224472605921222
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Senegalimassilia.NA",1.18511409316098e-39,1.24158152606485e-29,0.00596441902115575,1.09303760945692e-52,4.70370479496705e-15,1.63907338378813e-84,1.59048700303077e-25,1.71633772395434e-18,0.000115910295151591,1.75767874311162e-51,7.55668208628608e-70,1.05247608662641e-12,2.72149197028093e-40,0.00202887223976764,4.88472685186572e-13,3.67931132956699e-28,2.27568003474788e-50,1.33603623428237e-110,0.000707080543924968,1.333950014111e-06,1.32151760614117e-12,1.3616232410572e-11,1.21493390883685e-52,3.76749903184865e-23,9.66870550711901e-53,1.44080810002188e-57,3.71456156275366e-67,1.98849110229628e-49,1.28076849184216e-11,0.00604706399316042
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Slackia.isoflavoniconvertens",1.07933978165477e-26,4.47072272616354e-15,0.0143917962919219,2.524256005636e-22,2.73825111284139e-28,2.37609860615305e-60,9.07464685837346e-16,1.50034049329884e-05,1.68972510956301e-15,1.5786018058364e-43,0.00734072670420399,2.6069044131431e-18,0.00155478066376681,1.92658153417364e-08,0.0058021141584528,0.000170955075728731,5.88675670281387e-43,1.19158512767135e-39,0.00107754732796815,3.24617109032751e-22,8.64397123526212e-23,0.000227494452983393,7.16668831893458e-29,3.71771071485813e-07,1.7453181559759e-28,2.67934582328516e-43,7.1396353965934e-44,1.73750066947538e-33,3.74489334364112e-33,3.1360356284218e-13
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.NA",0.194399711747541,0.593908780416633,0.0411787530797049,0.426851728801208,0.00135931725656668,0.380884358335684,0.617294515310593,0.470270467208115,0.26228186511015,0.00387331998176488,0.505877286807977,0.0921959189042161,0.182211349736403,0.0389767726090455,0.0514014594364744,0.0721666963456875,0.0316577495672565,0.000336528885478428,0.759801020381235,0.196836068089937,0.0510785956705318,0.354782297476368,0.720721906822044,0.101773162379909,0.0266592869378241,0.0463185811815459,0.184668760854778,0.0129724489809282,0.304871348352613,0.00757831130445397
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Barnesiellaceae.Barnesiella.NA",0.00151641536636261,7.6984663599467e-06,0.00827114296148563,9.24422326767304e-06,5.37695618288501e-06,4.58430169426209e-08,5.48862667807006e-07,6.39412512940109e-10,9.01285561378084e-05,0.0349679163635066,2.28053244568149e-45,8.5526695217299e-08,1.02034485502894e-27,0.000203810083083272,5.91666885512573e-11,1.70956930034043e-18,1.82233523547451e-11,1.29796444188658e-05,0.0248109086390008,1.1825842424233e-06,1.18923107862661e-15,1.4104335291354e-07,9.48797253035985e-06,0.00262122174346632,0.112113457748337,0.010678826115277,0.00338111308542997,3.59260434371433e-06,0.162783239101206,3.05537229563052e-10
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Barnesiellaceae.Coprobacter.NA",7.59616827310039e-32,0.000420289166617707,0.000798287915256741,1.28247229485326e-63,6.39932408559361e-22,4.57474812183126e-78,1.70143119126203e-20,1.40486522321096e-16,0.000505673757460668,0.000327293221931513,2.48101779920968e-29,1.8710518256565e-17,2.15294812637566e-40,7.30469493193748e-47,3.16308962241117e-15,0.0044510780852588,1.25941699734184e-36,2.19799245612017e-19,0.00048550297096536,1.61749821160324e-14,1.00827222356161e-16,4.48581780259949e-13,4.16467936716117e-33,1.10478369097698e-09,0.00363169354885751,3.0294786107661e-50,8.56669804667141e-51,1.30190722623425e-48,0.000519517878922368,0.00198896745586089
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Dysgonomonadaceae.Dysgonomonas.oryzarvi",1.30978136697592e-152,1.1395933417764e-137,2.37120479253757e-121,1.41990008930658e-153,6.77255552374479e-119,2.48385629013057e-152,5.3793942950712e-119,2.34352831221148e-155,4.6516139755153e-138,9.12962425592185e-139,2.98445246842707e-121,4.79408772109941e-56,6.67089297002689e-106,7.80635742743519e-138,2.39518010714444e-137,4.29452476144619e-121,6.09307204926402e-137,0.00123721682789354,5.37963852116037e-127,8.4895598336244e-138,2.35511048309396e-138,1.47252355821974e-137,1.42205724357868e-153,3.70491955131841e-123,6.28801503674897e-139,9.50717434613243e-140,3.57451581447908e-153,4.06599952139733e-254,1.47060935389433e-139,4.37782961804333e-121
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Butyricimonas.virosa",3.07138851248035e-22,0.0043586844498706,0.0179552702947255,4.90923744448586e-21,4.17945426362107e-13,7.96449884539265e-06,4.07863743474061e-08,0.00279037365128758,7.5482722760594e-07,5.34191310521814e-16,0.0114760562375324,1.27080989251509e-21,0.000881983542171284,0.00120660677727413,2.69481938428636e-16,6.82814299482182e-08,0.00314876365553091,1.9853694905819e-11,1.15266625849231e-12,0.00077883603648631,4.11323350394277e-15,3.73570948211646e-09,7.20063104560355e-14,0.00661206206815693,0.0239244266722665,0.000225182086072053,0.00106655746746629,1.15451078953995e-40,9.33706087176203e-12,4.32428724514718e-09
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Odoribacter.splanchnicus",0.0110260989834736,0.000537964077401251,0.00426584027320712,0.00214070972471013,1.31866240284504e-08,0.000236464091496975,0.00102369167296276,4.90545856642489e-08,0.0204271644108465,0.00126201064875374,1.63240095941254e-07,2.88685235560268e-11,0.00295346735172829,0.00216033340148208,0.0001677903845554,0.0268752872555955,0.000999904065634045,2.52452753938459e-06,0.00532040049248351,0.00153245905344664,9.68842760769321e-09,0.000198851525549341,1.94875575040596e-11,0.00384494277592579,0.00124305932301724,0.00101508647944367,0.000748236849234786,2.19804106765931e-08,0.0048592909998561,0.00690845814269077
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Sanguibacteroides.NA",0.00151705489302615,9.69117180833756e-115,3.30636191803327e-109,1.05315562236136e-54,2.61017472515432e-13,2.34784255892735e-05,1.23485328932418e-25,1.40031955124027e-32,2.86945940054026e-27,3.9470900617352e-77,9.82697602611816e-45,7.97493597586408e-18,4.87271353639805e-312,1.68525325381438e-87,1.09420945939797e-41,1.12734251082033e-23,5.95942500449789e-43,2.53836364676856e-109,2.84959113370787e-49,1.94173995007047e-27,1.61658037887887e-16,1.61587089531909e-58,1.01952067107084e-39,7.8037019809445e-247,3.22215063864315e-32,3.80125063878816e-102,8.90981001003484e-41,1.01005689157101e-38,1.68721665920887e-08,1.46012557806387e-79
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Muribaculaceae.Muribaculum.intestinale",9.8719632104648e-53,7.70770431093659e-121,6.89323062741694e-118,1.11162429967374e-190,5.18538479360513e-05,1.04271215450459e-134,1.79133608159008e-19,5.6232996767019e-12,1.03093219825039e-40,9.83462839817995e-135,8.6759718317208e-118,5.17078016112478e-06,5.18793558339718e-103,8.40918074704756e-134,9.26373673390626e-28,1.24844291092422e-117,3.51591524638457e-120,3.52778127836584e-308,1.13762471675694e-50,6.33067694322558e-121,2.7120454962384e-31,8.25926047022626e-77,3.4190324402014e-128,1.07704385439282e-119,1.14397514024105e-134,1.02413271873351e-135,0.000483837356209351,2.49263387683407e-160,1.22762771240517e-08,1.27266423817519e-117
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Alloprevotella.NA",2.92884637355946e-49,1.01216377254591e-38,0.0195972334460721,1.78494623962998e-55,3.14375786106305e-46,3.88368857487417e-81,4.80102318877877e-42,5.7422387060133e-32,9.50987575290367e-06,1.10479699071955e-58,4.83010886485427e-70,1.94432021518234e-38,3.65858826508073e-48,0.00055800029865565,0.0146197321514273,6.61980078059206e-06,5.33336085898182e-49,5.56740482289808e-43,3.56570408411661e-59,1.25485252550802e-12,1.84861259008875e-32,1.57085611268534e-20,1.59591120805822e-52,2.08206806808927e-16,1.9834841859797e-53,1.5248878031757e-70,1.04961659916649e-38,1.04761684660752e-54,4.03841892110713e-26,2.20262513312947e-28
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella.NA",2.50379207790374e-35,5.5883386062047e-09,0.0366941239380785,1.51016827648007e-50,6.66469613049809e-31,5.63881089203132e-30,2.00980580887332e-13,1.88753758290628e-20,3.83192534675555e-36,0.0176478183302469,1.18692643524458e-61,1.52449962004059e-23,6.91531661533453e-43,0.000225879734843026,9.90539340147274e-20,0.000281542759190844,3.29533480825108e-69,5.04988406596071e-16,0.00692178827345996,1.01974353891094e-11,2.91802468000057e-26,0.0266616933246734,2.807762549061e-43,6.2492826479079e-12,0.00339038581978687,7.18317288161878e-37,7.37121846802122e-37,2.29145049347168e-47,3.93838679436475e-26,7.28692089092864e-07
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.NA",3.66160846832638e-07,2.76972600321012e-06,0.000303620890470889,8.71203686280333e-06,4.85220018775211e-07,3.17301112980865e-32,2.92542966980624e-07,3.65567083567637e-05,0.000130973334713438,0.00211842649889671,7.20759327631059e-16,8.96534284740752e-15,4.98961460196534e-31,0.199904981868857,0.667382982297683,0.00173618184986823,4.41501245195665e-32,3.62897250072179e-16,3.03178261144287e-07,8.28794718512122e-05,2.03441060147782e-07,2.45783332780288e-05,2.02993513670834e-10,5.00075256602998e-05,0.00709004962833122,2.51997955403368e-27,0.000435306136109545,5.01221863069343e-07,0.000556955384899844,0.00131141157345699
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae_NK3B31_group.NA",2.79274480452831e-47,1.38485819913407e-110,1.99667129219959e-31,2.54491561325638e-50,8.84432361086729e-50,1.35282979441361e-72,1.32325289380884e-45,3.11371543457146e-50,1.67148604805746e-26,2.35735950321551e-48,2.21271091266145e-57,9.55314170805818e-46,2.82492154662494e-90,0.00444097617660435,0.00145897556831785,3.67384917604242e-05,4.73832982817905e-65,4.20175290379879e-63,4.23446879633677e-72,1.76644628066705e-36,6.26109898239418e-22,5.86906856338304e-78,4.78012990878413e-41,3.16995092714962e-63,5.32240927403303e-43,5.38191845076613e-84,2.75749701000859e-62,9.70801939948041e-59,7.80224738356173e-91,2.17754662708088e-32
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae_UCG.001.NA",4.84469621792793e-88,5.47285569934274e-120,5.43895173508094e-37,1.11387601971133e-61,2.77317775306869e-64,2.02778663434374e-113,2.0874659294713e-90,1.5442757923868e-66,6.13570285272297e-41,1.40867122881395e-113,1.27015034388477e-102,1.05437958260632e-92,8.92898834244523e-105,0.0326027217480529,4.88814050687979e-10,2.95564986683662e-14,5.10934559938132e-05,5.37129220863637e-54,4.14506509810882e-127,1.52483485796991e-43,1.69896585453776e-28,3.25486032821364e-90,9.05938478916833e-24,6.59865520577514e-72,6.45098423781437e-79,1.87863911340708e-105,0.00512560385495182,1.41274597536365e-79,1.24350139189721e-107,1.07960133581543e-17
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae_UCG.003.NA",1.42284822163911e-87,4.74086654905102e-135,3.8752414975672e-43,2.52979583344473e-65,6.96820125068537e-69,2.12293590627802e-83,1.12679790466148e-100,1.52741617341838e-95,1.17584862699995e-128,3.2110471704845e-57,1.67421201936023e-131,2.41523419625308e-142,5.23592991268641e-116,0.0018879116222702,1.42821023251934e-21,1.04577076866394e-45,8.87706957430065e-70,5.88600822942224e-71,6.80033973308406e-181,8.92806940689795e-49,1.1104384933779e-74,1.74644063736002e-101,5.19683217332421e-236,1.20613628523038e-108,4.48526117214299e-96,2.51900048166798e-241,3.95333226608706e-94,4.15362394824618e-119,5.42458626029735e-194,0.00595726713507566
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae_UCG.004.NA",7.54398855286239e-226,2.28065905881582e-139,5.81429955448988e-81,1.34963997017464e-60,2.18892786507687e-94,2.60232385124066e-85,5.64929672261192e-42,2.10287654052044e-67,7.00811974499922e-06,7.28198055805867e-58,8.05403821012445e-136,1.78887606352287e-75,9.58941823772742e-120,0.0100857220466322,2.72614686004399e-19,8.27580088294635e-102,0,4.58775756021019e-132,2.48446057723229e-70,2.04293442867258e-44,4.39217712047674e-100,6.25274833614383e-105,1.51823833843267e-110,3.42348703201824e-105,1.74990370175005e-89,1.21245597985942e-99,2.03281836178023e-124,6.63815732358145e-109,6.69915682490934e-31,1.16867561895895e-135
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.putredinis",0.172083558976298,0.00280206956247332,0.000231370176541226,0.000403109440489715,0.00247397230971346,0.0151726909658126,1.02468788377561e-05,0.00552383381161285,0.117206040150589,0.00653728147221874,2.31894126321825e-17,0.0310123709393782,0.028313354507803,0.00195149783568019,0.000962133804366231,0.0407421952554606,0.130427078845111,2.61968569600337e-05,0.0244433959897959,0.0360908144086706,0.000886819589310002,0.00067045089215894,2.30054595061024e-05,0.00645669938766539,0.0230500216980758,0.0146007599892996,0.00502748367363289,1.49517656730825e-07,0.125503860853247,3.99062792104027e-07
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenellaceae_RC9_gut_group.NA",1.18403658196131e-40,4.0308406414025e-11,4.13693596766917e-11,5.42752534304213e-49,7.80219444292162e-07,1.24641918446032e-19,0.000484768862873461,1.07127711022021e-24,0.000113792539723236,2.95917427151233e-08,6.12845360679091e-05,0.000366085168822392,3.9002899755027e-62,0.00581604866970395,8.52209724323065e-07,0.153166670465449,3.84597767722455e-51,1.28872616236177e-16,7.06494578483679e-32,5.6317223627403e-07,2.83744107923515e-18,3.11221354015831e-26,1.48834646676099e-10,2.20693546455414e-09,0.00117359474293809,9.62453097281551e-46,2.25554414968299e-31,8.00067863669936e-55,6.57925720047961e-07,1.55552432438392e-16
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.distasonis",0.00589326023027175,0.0126728190867747,0.0315115950789377,0.0190499503994765,4.14029413425957e-12,8.54587647114258e-18,2.62370191295883e-07,0.00407242709779611,0.0328861858276329,0.0171226601216405,0.000866222815267952,0.00981874265793964,4.21154151726677e-05,0.0168485876892812,0.000287344495544526,2.77846415521612e-08,0.0621219141077682,6.96668678412249e-09,0.00296045450018811,7.85656372034059e-09,0.00373822893576231,0.409666320660986,3.69584417160521e-11,0.221939778605778,0.0830849295823369,0.0369242344344733,0.0107043707511753,0.0074229314767092,0.00533494940239783,2.19983838047531e-07
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Flavobacterium.ceti",5.99927699253054e-05,6.83680301562694e-21,1.10264501814539e-08,1.83052295311942e-05,6.96221810762254e-11,0.0165973786998587,5.50647402846637e-10,4.77714396331356e-08,3.50914760790619e-14,6.84982210371374e-06,1.23990841449089e-05,1.57794351232955e-10,2.15230968196126e-52,5.22635673451417e-05,2.73250820100883e-18,5.8434916338825e-35,7.56438419578023e-45,0.000149631951238993,2.98286539333462e-19,1.05291894095858e-06,0.000161498059416158,1.79599255792827e-12,9.27103985579125e-08,1.53597438945462e-43,9.42781580111106e-12,3.49420247862169e-07,8.22242212494842e-05,3.50556038947285e-05,5.20455049894591e-09,6.2193006083316e-26
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.Sphingobacteriaceae.Pedobacter.nutrimenti",6.47700600153805e-05,3.19984196767564e-33,3.60440485140385e-46,2.72236284375624e-05,4.06384377311011e-08,0.0236155014325102,3.53539860425646e-09,7.42289430656268e-09,1.99115531656492e-05,2.2884684927434e-05,3.3319089050446e-54,3.40830880214739e-21,0.000112527210280578,4.50026390755422e-05,3.11152265292211e-22,8.12961255637894e-43,0.000104137265653278,4.41829292319551e-20,3.44702241466337e-06,1.3210230409507e-06,2.91497532987469e-41,2.2854477924899e-26,8.38809033567882e-06,6.4181502103587e-28,6.21285761918654e-15,2.69784323754613e-05,8.65281700352662e-45,3.36755698587921e-05,2.85115142451856e-05,2.34008924583302e-56
